1 saiba saber 6 VERB acl
2 como como 4 ADP case
3 o o 4 DET det
4 meio meio 1 NOUN nmod
5 politico politico 4 ADJ amod
6 reagiu reagir 117 VERB ccomp
7 a o 8 DET det
8 condenacao condenacao 6 NOUN obj
9 de de 10 ADP case
10 lula lula 8 NOUN nmod
11 juiz juiz 14 NOUN nsubj
12 sergio sergio 11 ADJ amod
13 moro moro 11 NOUN flat
14 condenou condenar 6 VERB parataxis
15 expresidente expresidente 14 NOUN obj
16 a a 18 ADP case
17 9 9 18 NUM nummod
18 anos ano 14 NOUN nmod
19 e e 21 CCONJ cc
20 6 6 21 NUM nummod
21 meses mês 18 NOUN conj
22 de de 23 ADP case
23 prisao prisao 21 NOUN nmod
24 em em 26 ADP case
25 o o 26 DET det
26 processo processo 14 NOUN nmod
27 que que 28 PRON nsubj
28 envolve envolver 26 VERB acl:relcl
29 o o 30 DET det
30 caso caso 28 NOUN obj
31 de de 33 ADP case
32 a o 33 DET det
33 compra compra 30 NOUN nmod
34 e e 35 CCONJ cc
35 reforma reforma 33 NOUN conj
36 de de 38 ADP case
37 um um 38 DET det
38 apartamento apartamento 33 NOUN nmod
39 triplex triplex 38 NOUN flat
40 em em 41 ADP case
41 guaruja guaruja 28 NOUN nmod
42 sp sp 41 ADJ amod
43 confira conferir 117 VERB parataxis
44 abaixo abaixo 43 ADV advmod
45 reacoes reacoe 43 NOUN obj
46 de de 47 ADP case
47 parlamentares parlamentar 45 NOUN nmod
48 em em 49 ADP case
49 ordem ordem 45 NOUN nmod
50 alfabetica alfabetico 49 ADJ amod
51 a a 53 ADP case
52 o o 53 DET det
53 anuncio anuncio 43 NOUN nmod
54 de de 56 ADP case
55 a o 56 DET det
56 condenacao condenacao 53 NOUN nmod
57 de de 59 ADP case
58 o o 59 DET det
59 expresidente expresidente 56 NOUN nmod
60 luiz luiz 59 ADJ appos
61 inacio inacio 60 NOUN flat
62 lula lula 59 PROPN appos
63 de de 65 ADP case
64 a o 65 DET det
65 silva silva 62 NOUN nmod
66 a a 68 ADP case
67 9 9 68 NUM nummod
68 anos ano 56 NOUN nmod
69 e e 71 CCONJ cc
70 6 6 71 NUM nummod
71 meses mês 68 NOUN conj
72 de de 73 ADP case
73 prisao prisao 71 NOUN nmod
74 por por 76 ADP case
75 o o 76 DET det
76 juiz juiz 56 NOUN nmod
77 sergio sergio 76 NOUN appos
78 moro moro 76 NOUN flat
79 responsavel responsavel 301 ADJ amod
80 por por 82 ADP case
81 a o 82 DET det
82 operacao operacao 79 NOUN nmod
83 lava lava 82 NOUN appos
84 jato jato 83 NOUN flat
85 em em 88 ADP case
86 a o 88 DET det
87 primeira primeiro 88 ADJ amod
88 instancia instancia 301 NOUN nmod
89 de de 91 ADP case
90 a o 91 DET det
91 justica justica 88 NOUN nmod
92 federal federal 91 ADJ amod
93 lula lula 91 NOUN appos
94 podera podera 95 AUX aux
95 recorrer recorrer 117 VERB ccomp
96 em em 97 ADP case
97 liberdade liberdade 95 NOUN nmod
98 alvaro alvaro 301 ADJ appos
99 dias dia 98 NOUN flat
100 senador senador 301 NOUN appos
101 pr pr 100 ADJ flat
