1 perguntas pergunta 145 NOUN nsubj
2 e e 3 CCONJ cc
3 respostas resposta 1 NOUN conj
4 sobre sobre 6 ADP case
5 a o 6 DET det
6 condenacao condenacao 1 NOUN nmod
7 de de 8 ADP case
8 lula lula 6 NOUN nmod
9 em em 11 ADP case
10 o o 11 DET det
11 caso caso 6 NOUN nmod
12 de de 14 ADP case
13 o o 14 DET det
14 triplex triplex 11 NOUN nmod
15 expresidente expresidente 6 NOUN appos
16 e e 17 CCONJ cc
17 reu reu 15 VERB conj
18 em em 19 ADP case
19 processo processo 17 NOUN nmod
20 por por 21 ADP case
21 lavagem lavagem 19 NOUN nmod
22 de de 23 ADP case
23 dinheiro dinheiro 21 NOUN nmod
24 e e 25 CCONJ cc
25 corrupcao corrupcao 21 NOUN conj
26 passiva passivo 25 ADJ amod
27 ele ele 28 PRON nsubj
28 nega negar 145 VERB ccomp
29 as o 30 DET det
30 acusacoes acusacoe 40 NOUN obj
31 o o 32 DET det
32 expresidente expresidente 40 NOUN nsubj:pass
33 luiz luiz 32 ADJ appos
34 inacio inacio 33 NOUN flat
35 lula lula 33 NOUN flat
36 de de 38 ADP case
37 a o 38 DET det
38 silva silva 33 NOUN nmod
39 foi foi 40 AUX aux:pass
40 condenado condenar 1 VERB acl:relcl
41 nesta nesta 42 ADP case
42 quartafeira quartafeira 40 NOUN nmod
43 12 12 46 NUM appos
44 a a 46 ADP case
45 nove nove 46 NUM nummod
46 anos ano 40 NOUN nmod
47 e e 49 CCONJ cc
48 seis seis 49 NUM nummod
49 meses mês 46 NOUN conj
50 de de 51 ADP case
51 prisao prisao 49 NOUN nmod
52 em em 54 ADP case
53 o o 54 DET det
54 caso caso 40 NOUN nmod
55 de de 57 ADP case
56 o o 57 DET det
57 triplex triplex 54 NOUN nmod
58 em em 60 ADP case
59 o o 60 DET det
60 guaruja guaruja 40 NOUN nmod
61 sp sp 60 ADJ amod
62 de de 63 ADP case
63 acordo acordo 40 NOUN nmod
64 com com 66 ADP case
65 a o 66 DET det
66 denuncia denuncia 63 NOUN nmod
67 a o 68 DET det
68 oas oas 69 PRON nsubj
69 pagou pagar 40 VERB parataxis
70 r r 69 NOUN obj
71 37 37 72 NUM nummod
72 milhoes milhoes 70 NUM nummod
73 em em 74 ADP case
74 propina propina 69 NOUN nmod
75 a a 76 ADP case
76 lula lula 69 NOUN iobj
77 por por 78 ADP case
78 meio meio 69 NOUN nmod
79 de de 81 ADP case
80 a o 81 DET det
81 entrega entrega 78 NOUN nmod
82 e e 83 CCONJ cc
83 reforma reforma 81 NOUN conj
84 de de 86 ADP case
85 o o 86 DET det
86 imovel imovel 81 NOUN nmod
87 alem alem 69 ADV advmod
88 de de 90 ADP case
89 o o 90 DET det
90 armazenamento armazenamento 87 NOUN nmod
91 de de 93 ADP case
92 o o 93 DET det
93 acervo acervo 90 NOUN nmod
94 presidencial presidencial 93 ADJ amod
95 lula lula 97 NOUN nsubj:pass
96 foi foi 97 AUX aux:pass
97 absolvido absolver 145 VERB ccomp
98 de de 100 ADP case
99 a o 100 DET det
100 acusacao acusacao 97 NOUN nmod
101 sobre sobre 103 ADP case
102 o o 103 DET det
103 armazenamento armazenamento 100 NOUN nmod
104 o o 105 DET det
105 expresidente expresidente 106 NOUN nsubj
106 nega negar 97 VERB parataxis
107 ser ser 108 AUX cop
108 dono dono 106 NOUN xcomp
109 de de 111 ADP case
110 o o 111 DET det
111 imovel imovel 108 NOUN nmod
112 e e 311 CCONJ cc
113 ainda ainda 115 ADV advmod
114 pode pode 115 AUX aux
115 recorrer recorrer 322 VERB conj
116 entenda entender 311 VERB conj
117 o o 118 DET det
118 processo processo 116 NOUN obj
119 e e 120 CCONJ cc
120 veja ver 322 VERB conj
121 todas todas 123 DET det
122 as o 123 DET det
123 suspeitas suspeitas 120 NOUN obj
124 contra contra 125 ADP case
125 lula lula 123 NOUN nmod
126 integra integrar 120 NOUN appos
127 de de 129 ADP case
128 a o 129 DET det
129 sentenca sentenca 126 NOUN nmod
130 e e 131 CCONJ cc
131 trechos trecho 327 NOUN conj
132 mais mais 133 ADV advmod
133 importantes importante 131 ADJ amod
134 a o 135 DET det
135 prisao prisao 311 NOUN nsubj
136 de de 137 ADP case
137 lula lula 135 NOUN nmod
138 foi foi 139 AUX aux:pass
139 decretada decretar 40 VERB conj
140 nao nao 145 ADV advmod
141 o o 142 DET det
142 juiz juiz 176 NOUN nsubj
143 sergio sergio 142 NOUN appos
144 moro moro 143 NOUN flat
145 afirmou afirmar 0 VERB root
146 em em 148 ADP case
147 a o 148 DET det
148 sentenca sentenca 145 NOUN nmod
149 que que 40 CCONJ mark
150 ha har 145 VERB ccomp
151 por por 153 ADP case
152 o o 153 DET det
153 menos menos 154 ADV advmod
154 dois dois 155 NUM nummod
155 depoimentos depoimento 40 NOUN nsubj:pass
156 dizendo dizer 40 VERB acl
157 que que 160 CCONJ mark
158 o o 159 DET det
159 expresidente expresidente 160 NOUN nsubj
160 orientou orientar 156 VERB ccomp
161 a o 162 DET det
162 destruicao destruicao 160 NOUN obj
163 de de 164 ADP case
164 provas prova 162 NOUN nmod
165 em em 167 ADP case
166 o o 167 DET det
167 caso caso 162 NOUN nmod
168 e e 176 CCONJ cc
169 que que 176 CCONJ mark
170 orientado orientar 176 VERB acl
171 por por 173 ADP case
172 seus seus 173 DET det:poss
173 advogados advogado 170 NOUN nmod
174 lula lula 176 ADJ nsubj
175 tem ter 176 AUX aux
176 adotado adotar 40 VERB conj
177 taticas taticas 176 NOUN obj
178 bastante bastante 179 ADV advmod
179 questionaveis questionavel 177 ADJ amod
180 como como 177 ADP nmod
181 de de 182 ADP case
182 intimidacao intimidacao 180 NOUN nmod
183 de de 185 ADP case
184 o o 185 DET det
185 ora ora 182 NOUN nmod
186 julgador julgador 185 NOUN flat
187 com com 189 ADP case
188 a o 189 DET det
189 propositura propositura 182 NOUN nmod
190 de de 191 ADP case
191 queixacrime queixacrime 189 NOUN nmod
192 improcedente improcedente 191 ADJ amod
193 e e 195 CCONJ cc
194 de de 195 ADP case
195 intimidacao intimidacao 182 NOUN conj
196 de de 198 ADP case
197 outros outros 198 DET det
198 agentes agente 195 NOUN nmod
199 de de 201 ADP case
200 a o 201 DET det
201 lei lei 198 NOUN nmod
202 entretanto entretanto 203 ADV advmod
203 considerando considerar 40 VERB acl
204 que que 160 CCONJ mark
205 a o 206 DET det
206 prisao prisao 160 NOUN nsubj
207 cautelar cautelar 206 ADJ amod
208 de de 210 ADP case
209 um um 210 DET det
210 expresidente expresidente 206 NOUN nmod
211 de de 213 ADP case
212 a o 213 DET det
213 republica republica 210 NOUN nmod
214 nao nao 139 ADV advmod
215 deixa deixar 160 AUX aux
216 de de 217 ADP mark
217 envolver envolver 54 VERB nmod
218 certos certos 219 DET det
219 traumas trauma 217 NOUN obj
220 a o 221 DET det
221 prudencia prudencia 176 NOUN nsubj
222 recomenda recomendar 145 VERB ccomp
223 que que 225 CCONJ mark
224 se se 225 PART expl:pv
225 aguarde aguardar 222 VERB ccomp
226 o o 227 DET det
227 julgamento julgamento 225 NOUN obj
228 por por 230 ADP case
229 a o 230 DET det
230 corte corte 225 NOUN nmod
231 de de 232 ADP case
232 apelacao apelacao 230 NOUN nmod
233 antes antes 236 ADV mark
234 de de 233 ADP fixed
235 se se 236 PART expl:pv
236 extrair extrair 225 VERB advcl
237 as o 238 DET det
238 consequencias consequencias 236 NOUN obj
239 proprias proprio 238 ADJ amod
240 de de 242 ADP case
241 a o 242 DET det
242 condenacao condenacao 238 NOUN nmod
243 afirmou afirmar 40 VERB parataxis
244 moro moro 243 NOUN nsubj
245 em em 247 ADP case
246 a o 247 DET det
247 sentenca sentenca 250 NOUN nmod
248 lula lula 250 NOUN nsubj:pass
249 foi foi 250 AUX aux:pass
250 condenado condenar 222 VERB ccomp
251 por por 254 ADP case
252 todos todos 254 DET det
253 os o 254 DET det
254 crimes crime 250 NOUN nmod
255 nao nao 258 ADV advmod
256 a o 257 DET det
257 condenacao condenacao 258 NOUN nsubj
258 foi foi 222 VERB ccomp
259 por por 260 ADP case
260 corrupcao corrupcao 258 NOUN nmod
261 passiva passivo 260 ADJ amod
262 e e 263 CCONJ cc
263 lavagem lavagem 260 NOUN conj
264 de de 265 ADP case
265 dinheiro dinheiro 263 NOUN nmod
266 por por 267 ADP case
267 recebimento recebimento 258 NOUN nmod
268 de de 269 ADP case
269 vantagens vantagem 267 NOUN nmod
270 indevidas indevido 269 ADJ amod
271 de de 273 ADP case
272 o o 273 DET det
273 grupo grupo 269 NOUN nmod
274 oas oas 273 PROPN appos
275 em em 276 ADP case
276 decorrencia decorrencia 258 NOUN nmod
