1 revisar revisar 8 VERB csubj
2 o o 3 DET det
3 foro foro 1 NOUN obj
4 agilizara agilizar 1 VERB ccomp
5 a o 6 DET det
6 lava lava 4 NOUN obj
7 jato jato 6 NOUN flat
8 diz dizer 0 VERB root
9 carmen carmen 8 NOUN nsubj
10 lucia lucia 9 ADJ amod
11 presidente presidente 15 NOUN nsubj
12 de de 14 ADP case
13 o o 14 DET det
14 stf stf 11 NOUN nmod
15 afirma afirmar 8 VERB parataxis
16 que que 21 CCONJ mark
17 processos processo 21 NOUN nsubj:pass
18 de de 20 ADP case
19 a o 20 DET det
20 operacao operacao 17 NOUN nmod
21 precisam precisar 15 VERB ccomp
22 ser ser 23 AUX aux:pass
23 julgados julgar 21 VERB xcomp
24 e e 26 CCONJ cc
25 tambem tambem 26 ADV advmod
26 defende defender 21 VERB conj
27 as o 28 DET det
28 delacoes delacoe 26 NOUN obj
29 brasilia brasilia 26 NOUN nmod
30 a o 31 DET det
31 presidente presidente 26 NOUN nsubj
32 de de 35 ADP case
33 o o 35 DET det
34 supremo supremo 35 ADJ amod
35 tribunal tribunal 31 NOUN nmod
36 federal federal 35 ADJ amod
37 stf stf 35 NOUN appos
38 carmen carmen 31 NOUN appos
39 lucia lucia 38 NOUN flat
40 disse dizer 8 VERB parataxis
41 a a 43 ADP case
42 o o 43 DET det
43 estado estado 40 NOUN iobj
44 que que 53 CCONJ mark
45 a o 46 DET det
46 revisao revisao 53 NOUN nsubj
47 de de 49 ADP case
48 o o 49 DET det
49 foro foro 46 NOUN nmod
50 privilegiado privilegiar 35 VERB acl
51 para para 52 ADP case
52 parlamentares parlamentar 446 NOUN nmod
53 favorece favorecer 40 VERB ccomp
54 a o 55 DET det
55 lava lava 53 NOUN obj
56 jato jato 55 NOUN flat
57 e e 58 CCONJ cc
58 defendeu defender 53 VERB conj
59 todas todas 62 DET det
60 as o 62 DET det
61 outras outras 62 DET det
62 medidas medida 58 NOUN obj
63 consideradas considerar 62 VERB acl
64 fundamentais fundamental 63 ADJ xcomp
65 por por 67 ADP case
66 a o 67 DET det
67 forcatarefa forcatarefa 63 NOUN nmod
68 para para 70 ADP case
69 o o 70 DET det
70 exito exito 63 NOUN nmod
71 de de 73 ADP case
72 a o 73 DET det
73 operacao operacao 70 NOUN nmod
74 delacao delacao 73 ADJ amod
75 premiada premiar 62 VERB acl
76 prisoes prisoes 63 NOUN nsubj:pass
77 preventivas preventivo 76 ADJ amod
78 e e 79 CCONJ cc
79 execucao execucao 76 NOUN conj
80 de de 81 ADP case
81 pena pena 79 NOUN nmod
82 apos apos 83 ADP case
83 condenacao condenacao 494 NOUN nmod
84 em em 86 ADP case
85 segunda segundo 86 ADJ amod
86 instancia instancia 83 NOUN nmod
87 nenhuma nenhuma 268 PRON nsubj
88 delas delas 87 X nmod
89 e e 90 CCONJ cc
90 unanimidade unanimidade 88 NOUN conj
91 em em 93 ADP case
92 o o 93 DET det
93 stf stf 295 NOUN nmod
94 confusao confusao 295 NOUN nsubj
95 marca marcar 511 VERB conj
96 voto voto 295 NOUN obj
97 decisivo decisivo 96 ADJ amod
98 de de 99 ADP case
99 carmen carmen 96 NOUN nmod
100 lucia lucia 99 NOUN flat
101 a o 102 DET det
102 ministra ministra 295 NOUN nsubj
103 porem porem 104 ADV advmod
