1 presos preso 18 NOUN nsubj
2 piloto piloto 18 NOUN nsubj
3 e e 4 CCONJ cc
4 copiloto copiloto 2 NOUN conj
5 de de 6 ADP case
6 aviao aviao 4 NOUN nmod
7 interceptado interceptar 2 VERB acl
8 com com 12 ADP case
9 mais mais 11 ADV advmod
10 de de 9 ADP case
11 600 600 12 NUM nummod
12 kg kg 7 NOUN nmod
13 de de 14 ADP case
14 cocaina cocaina 12 NOUN nmod
15 em em 16 ADP case
16 goias goia 12 NOUN nmod
17 eles eles 18 PRON nsubj
18 disseram dizer 0 VERB root
19 a a 20 ADP case
20 pf pf 18 NOUN iobj
21 que que 22 CCONJ mark
22 sairam sair 18 VERB ccomp
23 de de 25 ADP case
24 a o 25 DET det
25 bolivia bolivia 22 NOUN nmod
26 com com 28 ADP case
27 a o 28 DET det
28 droga droga 22 NOUN nmod
29 e e 30 CCONJ cc
30 iriam iriam 22 VERB conj
31 para para 32 ADP case
32 fazenda fazenda 30 NOUN nmod
33 em em 34 ADP case
34 jussara jussar 32 NOUN nmod
35 sem sem 36 ADP mark
36 pousar pousar 30 VERB advcl
37 em em 39 ADP case
38 a o 39 DET det
39 propriedade propriedade 36 NOUN nmod
40 arrendada arrendar 39 VERB acl
41 por por 43 ADP case
42 a o 43 DET det
43 familia familia 40 NOUN nmod
44 de de 46 ADP case
45 o o 46 DET det
46 ministro ministro 43 NOUN nmod
47 blairo blairo 46 NOUN appos
48 maggi maggi 47 NOUN flat
49 a o 50 DET det
50 policia policia 52 NOUN nsubj
51 federal federal 50 ADJ amod
52 prendeu prender 18 VERB conj
53 em em 55 ADP case
54 o o 55 DET det
55 inicio inicio 52 NOUN nmod
56 de de 58 ADP case
57 a o 58 DET det
58 noite noite 55 NOUN nmod
59 desta desta 60 ADP case
60 segundafeira segundafeira 58 NOUN nmod
61 26 26 60 NUM appos
62 o o 63 DET det
63 piloto piloto 52 NOUN nsubj
64 e e 66 CCONJ cc
65 o o 66 DET det
66 copiloto copiloto 63 NOUN conj
67 de de 69 ADP case
68 o o 69 DET det
69 aviao aviao 66 NOUN nmod
70 bimotor bimotor 69 ADJ amod
71 interceptado interceptar 69 VERB acl
72 por por 74 ADP case
73 a o 74 DET det
74 forca forca 71 NOUN nmod
75 aerea aereo 74 ADJ amod
76 brasileira brasileiro 74 ADJ amod
77 fab fab 74 NOUN appos
78 em em 80 ADP case
79 o o 80 DET det
80 fim fim 71 NOUN nmod
81 de de 82 ADP case
82 semana semana 80 NOUN nmod
83 com com 85 ADP case
84 662 662 85 NUM nummod
85 kg kg 71 NOUN nmod
86 de de 87 ADP case
87 cocaina cocaina 85 NOUN nmod
88 em em 89 ADP case
89 jussara jussar 71 NOUN nmod
90 em em 92 ADP case
91 a o 92 DET det
92 regiao regiao 71 NOUN nmod
93 noroeste noroeste 92 ADJ amod
94 de de 95 ADP case
95 goias goia 92 NOUN nmod
96 segundo segundo 97 CCONJ mark
97 apurou apurar 52 VERB advcl
98 a o 99 DET det
99 tv tv 97 NOUN nsubj
100 anhanguera anhanguero 99 ADJ amod
101 os o 103 DET det
102 dois dois 103 NUM nummod
103 ocupantes ocupante 52 NOUN nsubj
104 de de 106 ADP case
105 a o 106 DET det
106 aeronave aeronave 103 NOUN nmod
107 sao sao 109 AUX cop
108 o o 109 DET det
109 piloto piloto 18 NOUN ccomp
110 apoena apoena 109 NOUN appos
111 indio indio 110 NOUN flat
112 de de 114 ADP case
113 o o 114 DET det
114 brasil brasil 110 NOUN nmod
115 e e 117 CCONJ cc
116 o o 117 DET det
117 copiloto copiloto 109 NOUN conj
118 fabiano fabiano 117 ADJ amod
119 junior junior 117 ADJ amod
120 de de 122 ADP case
121 a o 122 DET det
122 silva silva 117 NOUN nmod
123 eles eles 124 PRON nsubj
124 disseram dizer 18 VERB conj
125 a a 126 ADP case
126 pf pf 124 NOUN iobj
127 que que 128 CCONJ mark
128 trouxeram sauxer 124 VERB ccomp
129 a o 130 DET det
130 droga droga 128 NOUN obj
131 de de 133 ADP case
132 a o 133 DET det
133 bolivia bolivia 130 NOUN nmod
134 e e 146 CCONJ cc
135 que que 146 CCONJ mark
136 a a 138 ADP case
137 o o 138 DET det
138 contrario contrario 146 NOUN nmod
139 de de 144 ADP case
140 o o 144 DET det
141 que que 144 PRON obj
142 a o 143 DET det
143 fab fab 144 NOUN nsubj
144 divulgou divulgar 138 VERB acl:relcl
145 nao nao 146 ADV advmod
146 estiveram estar 124 VERB ccomp
147 em em 149 ADP case
148 a o 149 DET det
149 fazenda fazenda 146 NOUN nmod
150 itamarati itamarati 149 NOUN appos
151 norte norte 150 ADJ amod
152 em em 154 ADP case
153 o o 154 DET det
154 mato mato 149 NOUN nmod
155 grosso grosso 154 ADJ amod
156 arrendada arrendar 149 VERB acl
157 para para 159 ADP case
158 a o 159 DET det
159 empresa empresa 156 NOUN nmod
160 amaggi amaggi 159 NOUN appos
161 de de 163 ADP case
162 a o 163 DET det
163 familia familia 159 NOUN nmod
164 de de 46 ADP case
165 o o 46 DET det
