1 elacao elacao 22 NOUN nsubj
2 odebrecht odebrecht 1 NOUN appos
3 luiz luiz 1 NOUN appos
4 marinho marinho 3 ADJ flat
5 e e 6 CCONJ cc
6 suspeito suspeito 3 NOUN conj
7 de de 9 ADP mark
8 ter ter 9 AUX aux
9 recebido receber 6 VERB nmod
10 vantagens vantagem 9 NOUN obj
11 indevidas indevido 10 ADJ amod
12 em em 13 ADP case
13 campanha campanha 9 NOUN nmod
14 exprefeito exprefeito 13 NOUN appos
15 de de 17 ADP case
16 sao sao 17 NOUN nmod
17 bernardo bernardo 14 NOUN nmod
18 de de 20 ADP case
19 o o 20 DET det
20 campo campo 17 NOUN nmod
21 teria ter 22 AUX aux
22 recebido receber 0 VERB root
23 r r 22 NOUN obj
24 550 550 25 NUM nummod
25 mil mil 23 NUM nummod
26 nao nao 27 ADV advmod
27 contabilizados contabilizar 22 VERB acl
28 assessoria assessoria 29 NOUN nsubj
29 disse dizer 22 VERB parataxis
30 que que 34 CCONJ mark
31 todos todos 32 DET det
32 valores valores 34 NOUN nsubj:pass
33 foram foram 34 AUX aux:pass
34 contabilizados contabilizar 29 VERB ccomp
35 e e 36 CCONJ cc
36 aprovados aprovar 34 VERB conj
37 por por 39 ADP case
38 a o 39 DET det
39 justica justica 34 NOUN nmod
40 federal federal 39 ADJ amod
41 o o 42 DET det
42 exministro exministro 34 NOUN nsubj:pass
43 e e 44 CCONJ cc
44 exprefeito exprefeito 42 NOUN conj
45 de de 47 ADP case
46 sao sao 47 ADJ amod
47 bernardo bernardo 42 NOUN nmod
48 de de 50 ADP case
49 o o 50 DET det
50 campo campo 47 NOUN nmod
51 de de 53 ADP case
52 o o 53 DET det
53 campo campo 47 NOUN nmod
54 em em 56 ADP case
55 o o 56 DET det
56 abc abc 34 NOUN nmod
57 paulista paulista 56 ADJ amod
58 luiz luiz 171 NOUN nsubj
59 marinho marinho 58 NOUN flat
60 e e 61 CCONJ cc
61 suspeito suspeito 42 ADJ conj
62 de de 64 ADP mark
63 ter ter 64 AUX aux
64 recebido receber 61 VERB nmod
65 pagamento pagamento 64 NOUN obj
66 de de 67 ADP case
