1 citada citar 220 VERB acl
2 em em 3 ADP case
3 delacoes delacoe 1 NOUN nmod
4 de de 6 ADP case
5 a o 6 DET det
6 odebrecht odebrecht 3 NOUN nmod
7 arena arena 6 NOUN flat
8 de de 10 ADP case
9 a o 10 DET det
10 amazonia amazonia 7 NOUN nmod
11 custou custar 0 VERB root
12 r r 11 NOUN obj
13 6695 6695 14 NUM nummod
14 milhoes milhoes 34 NUM nummod
15 construcao construcao 11 NOUN obj
16 de de 17 ADP case
17 estadio estadio 15 NOUN nmod
18 usado usar 17 VERB acl
19 em em 21 ADP case
20 a o 21 DET det
21 copa copa 18 NOUN nmod
22 esta esta 11 PRON parataxis
23 entre entre 24 ADP case
24 obras obra 22 NOUN nmod
25 suspeitas suspeito 24 ADJ amod
26 de de 27 ADP case
27 repasse repasse 25 NOUN nmod
28 de de 29 ADP case
29 propina propina 27 NOUN nmod
30 tcu tcu 29 PROPN appos
31 apontou apontar 11 VERB parataxis
32 superfaturamento superfaturamento 31 NOUN obj
33 de de 34 ADP case
34 r r 32 NOUN nmod
35 865 865 36 NUM nummod
36 milhoes milhoes 34 NUM nummod
37 a o 38 DET det
38 arena arena 31 NOUN nsubj
39 de de 41 ADP case
40 a o 41 DET det
41 amazonia amazonia 38 NOUN nmod
42 localizada localizar 38 VERB acl
43 em em 45 ADP case
44 a o 45 DET det
45 zona zona 42 NOUN nmod
46 centrooeste centrooeste 45 ADJ amod
47 de de 48 ADP case
48 manaus manau 45 NOUN nmod
49 e e 50 CCONJ cc
50 uma uma 11 PRON conj
51 de de 53 ADP case
52 as o 53 DET det
53 obras obra 50 NOUN nmod
54 que que 57 PRON nsubj:pass
55 teriam ter 57 AUX aux
56 sido ser 57 AUX aux:pass
57 superfaturadas superfaturar 53 VERB acl:relcl
58 segundo segundo 59 ADP case
59 delatores delator 57 NOUN nmod
60 de de 62 ADP case
61 a o 62 DET det
62 odebrecht odebrecht 59 PROPN nmod
63 em em 64 ADP case
64 depoimentos depoimento 57 NOUN nmod
65 para para 67 ADP case
66 a o 67 DET det
67 operacao operacao 64 NOUN nmod
68 lava lava 67 NOUN appos
69 jato jato 67 NOUN flat
70 inicialmente inicialmente 73 ADV advmod
71 o o 72 DET det
72 estadio estadio 73 NOUN nsubj
73 estava estar 11 VERB parataxis
74 orcado orcado 73 ADJ xcomp
75 em em 76 ADP case
76 r r 74 NOUN nmod
77 499 499 78 NUM nummod
78 milhoes milhoes 76 NUM nummod
79 e e 81 CCONJ cc
80 foi foi 81 AUX aux:pass
81 concluido concluir 73 VERB conj
82 por por 83 ADP case
83 r r 81 NOUN nmod
84 6695 6695 85 NUM nummod
85 milhoes milhoes 83 NUM nummod
86 um um 87 DET det
87 aumento aumento 224 NOUN obj
88 de de 89 ADP case
89 34 34 87 NUM nmod
90 em em 92 ADP case
91 o o 92 DET det
92 valor valor 89 NOUN nmod
93 em em 94 ADP case
94 2012 2012 81 NUM nmod
95 o o 96 DET det
96 tribunal tribunal 224 NOUN nsubj
97 de de 98 ADP case
98 contas conta 96 NOUN nmod
99 de de 101 ADP case
100 a o 101 DET det
101 uniao uniao 96 NOUN nmod
102 tcu tcu 101 ADJ amod
103 apontou apontar 11 VERB parataxis
104 superfaturamento superfaturamento 103 NOUN obj
105 de de 106 ADP case
106 r r 104 NOUN nmod
107 865 865 108 NUM nummod
108 milhoes milhoes 106 NUM nummod
109 em em 111 ADP case
110 a o 111 DET det
111 construcao construcao 240 NOUN nmod
112 o o 113 DET det
113 estadio estadio 103 NOUN nsubj
114 que que 115 PRON nsubj
115 teve ter 113 VERB acl:relcl
116 obras obra 115 NOUN obj
117 coordenadas coordenar 116 VERB acl
118 por por 120 ADP case
119 a o 120 DET det
120 andrade andrade 117 NOUN nmod
121 gutierrez gutierrez 120 NOUN flat
122 esta esta 248 VERB acl:relcl
123 em em 124 ADP case
124 funcionamento funcionamento 122 NOUN nmod
125 desde desde 128 ADP case
126 a o 128 DET det
127 sua sua 128 DET det:poss
128 inauguracao inauguracao 250 NOUN nmod
129 a o 130 DET det
130 arena arena 131 NOUN nsubj
131 recebeu receber 11 VERB conj
132 mais mais 134 ADV advmod
133 de de 132 ADP case
134 60 60 135 NUM nummod
135 jogos jogo 131 NOUN obj
136 oficiais oficial 135 ADJ amod
137 entre entre 138 ADP case
138 elas elas 140 PRON nmod
139 quatro quatro 140 NUM nummod
140 partidas partida 135 NOUN appos
141 de de 143 ADP case
142 a o 143 DET det
143 copa copa 140 NOUN nmod
144 de de 146 ADP case
145 o o 146 DET det
146 mundo mundo 143 NOUN nmod
147 em em 148 ADP case
148 2014 2014 143 NUM nmod
149 e e 150 CCONJ cc
150 seis seis 140 NUM conj
151 de de 153 ADP case
152 a o 153 DET det
153 olimpiada olimpiada 150 NOUN nmod
154 de de 156 ADP case
155 o o 156 DET det
156 rio rio 153 PROPN nmod
157 de de 158 ADP case
158 janeiro janeiro 156 PROPN nmod
159 em em 160 ADP case
160 2016 2016 57 NUM nmod
161 alem alem 180 ADV advmod
162 de de 163 ADP case
163 jogos jogo 161 NOUN nmod
164 de de 166 ADP case
165 o o 166 DET det
166 campeonato campeonato 163 NOUN nmod
167 brasileiro brasileiro 166 ADJ amod
168 de de 169 ADP case
169 futebol futebol 166 NOUN nmod
170 masculino masculino 169 ADJ amod
171 e e 172 CCONJ cc
172 feminino feminino 170 ADJ conj
173 de de 175 ADP case
174 o o 175 DET det
175 campeonato campeonato 166 NOUN nmod
176 amazonense amazonense 175 ADJ amod
177 de de 178 ADP case
178 futebol futebol 175 NOUN nmod
179 tambem tambem 180 ADV advmod
180 ocorreram ocorrer 11 VERB conj
181 em em 183 ADP case
182 o o 183 DET det
183 local local 180 NOUN nmod
184 shows show 180 NOUN nsubj
185 de de 186 ADP case
186 ivete ivete 184 NOUN nmod
187 sangalo sangalo 186 NOUN amod
188 festival festival 186 NOUN appos
189 villa villa 188 NOUN appos
190 mix mix 188 NOUN flat
191 e e 193 CCONJ cc
192 de de 193 ADP case
193 artistas artista 186 NOUN conj
194 de de 196 ADP case
195 a o 196 DET det
196 musica musica 193 NOUN nmod
197 gospel gospel 196 NOUN amod
198 alem alem 180 ADV advmod
199 de de 201 ADP case
200 uma um 201 DET det
201 colacao colacao 198 NOUN nmod
202 de de 203 ADP case
203 grau grau 201 NOUN nmod
204 com com 207 ADP case
205 todos todos 207 DET det
206 os o 207 DET det
207 cursos curso 201 NOUN nmod
208 de de 210 ADP case
209 uma um 210 DET det
210 faculdade faculdade 207 NOUN nmod
211 particular particular 210 ADJ amod
212 de de 213 ADP case
213 manaus manau 210 NOUN nmod
214 em em 216 ADP case
215 tres tres 216 NUM nummod
216 anos ano 81 NOUN nmod
217 de de 218 ADP case
218 funcionamento funcionamento 216 NOUN nmod
219 a o 220 DET det
220 arena arena 224 NOUN nsubj
221 de de 223 ADP case
222 a o 223 DET det
223 amazonia amazonia 220 NOUN nmod
224 arrecadou arrecadar 73 VERB parataxis
225 um um 226 DET det
226 total total 224 NOUN obj
227 de de 228 ADP case
228 r r 226 NOUN nmod
229 343474014 343474014 228 NUM appos
230 contra contra 232 ADP case
231 uma um 232 DET det
232 despesa despesa 226 NOUN nmod
233 de de 234 ADP case
234 r r 232 NOUN nmod
235 1764026376 1764026376 234 NUM nummod
236 o o 237 DET det
237 que que 238 PRON nsubj
238 representa representar 224 VERB parataxis
239 um um 240 DET det
240 prejuizo prejuizo 238 NOUN obj
241 de de 242 ADP case
242 r r 240 NOUN nmod
243 1420552362 1420552362 242 NUM appos
244 de de 245 ADP case
245 acordo acordo 240 NOUN nmod
246 com com 248 ADP case
247 os o 248 DET det
248 balancos balanco 245 NOUN nmod
249 oficiais oficial 248 ADJ amod
250 divulgados divulgar 248 VERB acl
251 em em 252 ADP case
252 2014 2014 250 NUM nmod
