1 mineradoras minerador 3 NOUN nsubj
2 canadenses canadense 1 ADJ amod
3 souberam saber 0 VERB root
4 de de 5 ADP case
5 extincao extincao 3 NOUN nmod
6 de de 7 ADP case
7 reserva reserva 5 NOUN nmod
8 em em 10 ADP case
9 a o 10 DET det
10 amazonia amazonia 5 NOUN nmod
11 5 5 12 NUM nummod
12 meses mês 13 NOUN nmod
13 antes antes 16 ADV case
14 de de 13 ADP case
15 o o 13 DET det
16 anuncio anuncio 3 NOUN nmod
17 oficial oficial 16 ADJ amod
18 em em 19 ADP case
19 marco marco 16 PROPN nmod
20 ministro ministro 22 NOUN nsubj
21 brasileiro brasileiro 20 ADJ amod
22 anunciou anunciar 3 VERB parataxis
23 decisao decisao 22 NOUN obj
24 e e 26 CCONJ cc
25 outras outras 26 DET det
26 medidas medida 23 NOUN conj
27 para para 29 ADP case
28 o o 29 DET det
29 setor setor 26 NOUN nmod
30 mineral mineral 29 ADJ amod
31 em em 32 ADP case
32 toronto toronto 22 NOUN nmod
33 publicada publicar 23 VERB acl
34 em em 36 ADP case
35 o o 36 DET det
36 diario diario 33 NOUN nmod
37 oficial oficial 36 ADJ amod
38 de de 41 ADP case
39 a o 41 DET det
40 ultima ultima 41 ADJ amod
41 quintafeira quintafeira 36 NOUN nmod
42 24 24 41 NUM appos
43 sem sem 44 ADP mark
44 alarde alarde 33 VERB advcl
45 a o 46 DET det
46 extincao extincao 33 NOUN nsubj
47 de de 49 ADP case
48 a o 49 DET det
49 reserva reserva 46 NOUN nmod
50 nacional nacional 49 ADJ amod
51 de de 53 ADP case
52 o o 53 DET det
53 cobre cobre 49 NOUN nmod
54 e e 55 CCONJ cc
55 associados associado 49 NOUN conj
56 renca renca 55 NOUN flat
57 em em 59 ADP case
58 a o 59 DET det
59 amazonia amazonia 55 NOUN nmod
60 surpreendeu surpreender 3 VERB conj
61 muita muita 62 DET det
62 gente gente 60 NOUN obj
63 e e 64 CCONJ cc
64 ganhou ganhar 60 VERB conj
65 machetes machete 64 NOUN obj
66 alarmadas alarmado 65 ADJ amod
67 em em 69 ADP case
68 o o 69 DET det
69 brasil brasil 140 NOUN nmod
70 e e 74 CCONJ cc
71 em em 74 ADP case
72 os o 74 DET det
73 principais principal 74 ADJ amod
74 jornais jornal 69 NOUN conj
75 de de 77 ADP case
76 o o 77 DET det
77 mundo mundo 74 NOUN nmod
78 nao nao 80 ADV advmod
79 foi foi 80 AUX cop
80 o o 255 PRON conj
81 que que 82 PRON nsubj
82 ocorreu ocorrer 80 VERB acl:relcl
83 com com 84 ADP case
84 investidores investidor 82 NOUN nmod
85 e e 86 CCONJ cc
86 empresas empresa 84 NOUN conj
87 de de 88 ADP case
88 mineracao mineracao 86 NOUN nmod
89 canadenses canadense 88 ADJ amod
90 em em 91 ADP case
91 marco marco 351 PROPN nmod
92 cinco cinco 93 NUM nummod
93 meses mês 94 NOUN nmod
94 antes antes 97 ADV case
95 de de 94 ADP case
96 o o 94 DET det
97 anuncio anuncio 390 NOUN nmod
98 oficial oficial 97 ADJ amod
99 de de 101 ADP case
100 o o 101 DET det
101 governo governo 97 NOUN nmod
102 o o 103 DET det
103 ministro ministro 390 NOUN nsubj
104 de de 105 ADP case
105 minas mina 294 NOUN nmod
106 e e 198 CCONJ cc
107 energia energia 196 NOUN conj
108 fernando fernando 249 NOUN appos
109 coelho coelho 108 NOUN flat
110 filho filho 108 ADJ flat
111 anunciou anunciar 3 VERB parataxis
112 a a 113 ADP case
113 empresarios empresario 111 NOUN iobj
114 de de 116 ADP case
115 o o 116 DET det
116 pais pais 113 NOUN nmod
117 que que 255 CCONJ mark
118 a o 119 DET det
119 area area 222 NOUN nsubj:pass
120 de de 121 ADP case
121 preservacao preservacao 119 NOUN nmod
122 amazonica amazonico 121 ADJ amod
123 seria seria 242 VERB cop
124 extinta extinguir 123 ADJ xcomp
125 e e 227 CCONJ cc
126 que que 130 CCONJ mark
127 sua sua 128 DET det:poss
128 exploracao exploracao 130 NOUN nsubj:pass
129 seria seria 130 AUX aux:pass
130 leiloada leiloar 222 VERB conj
131 entre entre 132 ADP case
132 empresas empresa 130 NOUN nmod
133 privadas privado 132 ADJ amod
134 o o 135 DET det
135 fim fim 255 NOUN nsubj
136 de de 138 ADP case
137 a o 138 DET det
138 renca renca 135 NOUN nmod
139 foi foi 140 AUX aux:pass
140 apresentado apresentar 22 VERB conj
141 por por 143 ADP case
142 o o 143 DET det
143 governo governo 140 NOUN nmod
144 temer temer 143 NOUN flat
145 durante durante 147 ADP case
146 o o 147 DET det
147 evento evento 140 NOUN nmod
148 prospectors prospectors 147 NOUN appos
149 and and 150 CCONJ cc
150 developers developers 148 NOUN conj
151 association association 150 NOUN flat
152 of of 153 ADP case
153 canada canada 148 NOUN nmod
154 pdac pdac 150 NOUN flat
155 em em 156 ADP case
