# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estamos torcendo por um milagre diz filho de teori zavascki filho disse que relator da lava jato no stf estava a bordo de aeronave que caiu em paraty ainda nao ha informacoes sobre sobreviventes a familia do ministro do supremo tribunal federal e relator dos processos da lava jato que correm no stf teori zavaski diz esperar por um milagre depois das informacoes de que o voo em que ele estava caiu no litoral de paraty na regiao sul do estado do rio de janeiro ele estava a bordo e estamos
1	estamos	estar	AUX	AUX	_	2	aux	_	TokenRange=0:7
2	torcendo	torcer	VERB	VERB	_	0	root	_	TokenRange=8:16
3	por	por	ADP	ADP	_	5	case	_	TokenRange=17:20
4	um	um	DET	DET	_	5	det	_	TokenRange=21:23
5	milagre	milagre	NOUN	NOUN	_	2	nmod	_	TokenRange=24:31
6	diz	dizer	VERB	VERB	_	2	parataxis	_	TokenRange=32:35
7	filho	filho	NOUN	NOUN	_	2	nsubj	_	TokenRange=36:41
8	de	de	ADP	ADP	_	9	case	_	TokenRange=42:44
9	teori	_	NOUN	NOUN	_	7	nmod	_	TokenRange=45:50
10	zavascki	_	NOUN	NOUN	_	9	flat	_	TokenRange=51:59
11	filho	filho	NOUN	NOUN	_	9	flat	_	TokenRange=60:65
12	disse	dizer	VERB	VERB	_	2	parataxis	_	TokenRange=66:71
13	que	que	CCONJ	CONJ	_	22	mark	_	TokenRange=72:75
14	relator	relator	NOUN	NOUN	_	22	nsubj	_	TokenRange=76:83
15-16	da	_	_	_	_	_	_	_	TokenRange=84:86
15	de	de	ADP	ADP	_	17	case	_	_
16	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	17	det	_	_
17	lava	lava	NOUN	NOUN	_	14	nmod	_	TokenRange=87:91
18	jato	jato	NOUN	NOUN	_	17	flat	_	TokenRange=92:96
19-20	no	_	_	_	_	_	_	_	TokenRange=97:99
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	stf	_	NOUN	NOUN	_	17	nmod	_	TokenRange=100:103
22	estava	estar	VERB	VERB	_	12	ccomp	_	TokenRange=104:110
23	a	_	ADP	ADP	_	24	case	_	TokenRange=111:112
24	bordo	bordo	NOUN	NOUN	_	22	nmod	_	TokenRange=113:118
25	de	de	ADP	ADP	_	26	case	_	TokenRange=119:121
26	aeronave	aeronave	NOUN	NOUN	_	24	nmod	_	TokenRange=122:130
27	que	_	PRON	PRON	_	28	nsubj	_	TokenRange=131:134
28	caiu	cair	VERB	VERB	_	26	acl:relcl	_	TokenRange=135:139
29	em	em	ADP	ADP	_	30	case	_	TokenRange=140:142
30	paraty	paraty	NOUN	NOUN	_	28	nmod	_	TokenRange=143:149
31	ainda	ainda	ADV	ADV	_	33	advmod	_	TokenRange=150:155
32	nao	nao	ADV	ADV	Polarity=Neg	33	advmod	_	TokenRange=156:159
33	ha	har	VERB	VERB	_	12	ccomp	_	TokenRange=160:162
34	informacoes	informacoe	NOUN	NOUN	_	33	obj	_	TokenRange=163:174
35	sobre	_	ADP	ADP	_	36	case	_	TokenRange=175:180
36	sobreviventes	sobrevivente	NOUN	NOUN	_	34	nmod	_	TokenRange=181:194
37	a	_	ADP	ADP	_	38	case	_	TokenRange=195:196
38	familia	familia	NOUN	NOUN	_	34	nmod	_	TokenRange=197:204
39-40	do	_	_	_	_	_	_	_	TokenRange=205:207
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	ministro	ministro	NOUN	NOUN	_	38	nmod	_	TokenRange=208:216
42-43	do	_	_	_	_	_	_	_	TokenRange=217:219
42	de	de	ADP	ADP	_	45	case	_	_
43	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	45	det	_	_
44	supremo	supremo	ADJ	ADJ	_	45	amod	_	TokenRange=220:227
45	tribunal	tribunal	NOUN	NOUN	_	41	nmod	_	TokenRange=228:236
