# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = impugnacao nao e apenas atribuicao do mp eleitoral diz viceprocuradorgeral eleitoral nao tendemos a imaginar o ministerio publico o tse como salvador da patria afirma humberto jacques brasilia representante da procuradoriageral da republica no tribunal superior eleitoral tse humberto jacques disse ao estado que quem tem de punir alguem e o eleitor com o voto segundo o viceprocuradorgeral eleitoral o ministerio publico garantira a lisura da eleicao e o respeito a lei nao estamos aqui para selecionar um candidato isso e do eleitor estamos para garantir que todos sejam tratados igualmente dentro do sistema eleitoral ao falar do provavel enquadramento na lei da ficha limpa da candidatura do expresidente luiz inacio lula da silva que teve a condenacao mantida pela 8 turma do tribunal regional federal da 4 regiao trf4 jacques disse que a questao nao e so do mp o futuro politico
1	impugnacao	impugnacao	NOUN	NOUN	_	10	nsubj	_	TokenRange=0:10
2	nao	nao	ADV	ADV	Polarity=Neg	5	advmod	_	TokenRange=11:14
3	e	e	CCONJ	CONJ	_	5	cc	_	TokenRange=15:16
4	apenas	apenas	ADV	ADV	_	5	advmod	_	TokenRange=17:23
5	atribuicao	atribuicao	NOUN	NOUN	_	1	conj	_	TokenRange=24:34
6-7	do	_	_	_	_	_	_	_	TokenRange=35:37
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	mp	mp	NOUN	NOUN	_	5	nmod	_	TokenRange=38:40
9	eleitoral	eleitoral	ADJ	ADJ	_	8	amod	_	TokenRange=41:50
10	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=51:54
11	viceprocuradorgeral	viceprocuradorgeral	NOUN	NOUN	_	10	obj	_	TokenRange=55:74
12	eleitoral	eleitoral	ADJ	ADJ	_	11	amod	_	TokenRange=75:84
13	nao	nao	ADV	ADV	Polarity=Neg	14	advmod	_	TokenRange=85:88
14	tendemos	_	VERB	VERB	_	10	ccomp	_	TokenRange=89:97
15	a	_	ADP	ADP	_	16	mark	_	TokenRange=98:99
16	imaginar	imaginar	VERB	VERB	_	14	nmod	_	TokenRange=100:108
