# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = brasilia dentro do carro em silencio profundo como de costume quando sente raiva o candidato a presidente aecio neves psdb estava com a cabeca zunindo ja atrasado para o debate entre os presidenciaveis no sbt no dia 1 de setembro avistou um congestionamento quilometrico um acidente com um caminhao havia bloqueado a estrada que seu veiculo cruzaria simbolico a corrida contra o tempo a angustia de se sentir paralisado e uma jamanta em seu caminho pareceu a aecio a representacao do momento politico que vivia a pouco mais de 30 dias da eleicao o tucano estava 20 pontos atras de suas principais adversarias dilma rousseff pt e marina silva psb entretanto em mais uma reviravolta o tucano chega a eleicao competitivo brigando voto a voto com a candidata
1	brasilia	brasilia	NOUN	NOUN	_	0	root	_	TokenRange=0:8
2	dentro	dentro	ADV	ADV	_	1	advmod	_	TokenRange=9:15
3-4	do	_	_	_	_	_	_	_	TokenRange=16:18
3	de	de	ADP	ADP	_	5	case	_	_
4	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	5	det	_	_
5	carro	carro	NOUN	NOUN	_	2	nmod	_	TokenRange=19:24
6	em	em	ADP	ADP	_	7	case	_	TokenRange=25:27
7	silencio	silencio	NOUN	NOUN	_	1	nmod	_	TokenRange=28:36
8	profundo	profundo	ADJ	ADJ	_	7	amod	_	TokenRange=37:45
9	como	_	ADP	ADP	_	22	nmod	_	TokenRange=46:50
10	de	de	ADP	ADP	_	11	case	_	TokenRange=51:53
11	costume	costume	NOUN	NOUN	_	9	nmod	_	TokenRange=54:61
12	quando	_	CCONJ	CONJ	_	13	mark	_	TokenRange=62:68
13	sente	_	VERB	VERB	_	22	advcl	_	TokenRange=69:74
14	raiva	raiva	NOUN	NOUN	_	13	obj	_	TokenRange=75:80
15	o	o	DET	DET	_	16	det	_	TokenRange=81:82
16	candidato	candidato	NOUN	NOUN	_	22	nsubj	_	TokenRange=83:92
17	a	_	ADP	ADP	_	18	case	_	TokenRange=93:94
18	presidente	presidente	NOUN	NOUN	_	16	nmod	_	TokenRange=95:105
19	aecio	_	NOUN	NOUN	_	16	appos	_	TokenRange=106:111
20	neves	neve	ADJ	ADJ	_	19	flat	_	TokenRange=112:117
21	psdb	_	PROPN	PNOUN	_	19	flat	_	TokenRange=118:122
22	estava	estar	VERB	VERB	_	1	parataxis	_	TokenRange=123:129
23	com	com	ADP	ADP	_	25	case	_	TokenRange=130:133
24	a	o	DET	DET	_	25	det	_	TokenRange=134:135
25	cabeca	cabeca	NOUN	NOUN	_	22	nmod	_	TokenRange=136:142
26	zunindo	zunir	VERB	VERB	_	22	acl	_	TokenRange=143:150
27	ja	ja	ADV	ADV	_	28	advmod	_	TokenRange=151:153
28	atrasado	atrasado	ADJ	ADJ	_	26	xcomp	_	TokenRange=154:162
29	para	para	ADP	ADP	_	31	case	_	TokenRange=163:167
30	o	o	DET	DET	_	31	det	_	TokenRange=168:169
31	debate	debate	NOUN	NOUN	_	28	nmod	_	TokenRange=170:176
32	entre	_	ADP	ADP	_	34	case	_	TokenRange=177:182
33	os	o	DET	DET	_	34	det	_	TokenRange=183:185
34	presidenciaveis	_	NOUN	NOUN	_	31	nmod	_	TokenRange=186:201
35-36	no	_	_	_	_	_	_	_	TokenRange=202:204
35	em	em	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	sbt	sbt	NOUN	NOUN	_	44	nmod	_	TokenRange=205:208
38-39	no	_	_	_	_	_	_	_	TokenRange=209:211
38	em	em	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	dia	dia	NOUN	NOUN	_	44	nmod	_	TokenRange=212:215
41	1	_	NUM	NUM	NumType=Card	40	nmod	_	TokenRange=216:217
42	de	de	ADP	ADP	_	43	case	_	TokenRange=218:220
43	setembro	_	PROPN	PNOUN	_	41	nmod	_	TokenRange=221:229
44	avistou	avistar	VERB	VERB	_	22	parataxis	_	TokenRange=230:237
45	um	um	DET	DET	_	46	det	_	TokenRange=238:240
46	congestionamento	congestionamento	NOUN	NOUN	_	44	obj	_	TokenRange=241:257
47	quilometrico	quilometrico	ADJ	ADJ	_	46	amod	_	TokenRange=258:270
48	um	um	DET	DET	_	49	det	_	TokenRange=271:273
49	acidente	acidente	NOUN	NOUN	_	44	nsubj	_	TokenRange=274:282
50	com	com	ADP	ADP	_	52	case	_	TokenRange=283:286
51	um	um	DET	DET	_	52	det	_	TokenRange=287:289
52	caminhao	caminhao	NOUN	NOUN	_	49	nmod	_	TokenRange=290:298
53	havia	haver	AUX	AUX	_	54	aux	_	TokenRange=299:304
54	bloqueado	bloquear	VERB	VERB	_	22	conj	_	TokenRange=305:314
55	a	o	DET	DET	_	56	det	_	TokenRange=315:316
56	estrada	estrada	NOUN	NOUN	_	54	obj	_	TokenRange=317:324
57	que	que	CCONJ	CONJ	_	60	mark	_	TokenRange=325:328
58	seu	_	DET	DET	_	59	det:poss	_	TokenRange=329:332
59	veiculo	veiculo	NOUN	NOUN	_	60	nsubj	_	TokenRange=333:340
60	cruzaria	cruzar	VERB	VERB	_	54	ccomp	_	TokenRange=341:349
61	simbolico	_	ADJ	NOUN	_	60	xcomp	_	TokenRange=350:359
62	a	o	DET	DET	_	63	det	_	TokenRange=360:361
63	corrida	corrida	NOUN	NOUN	_	60	obj	_	TokenRange=362:369
64	contra	_	ADP	ADP	_	66	case	_	TokenRange=370:376
65	o	o	DET	DET	_	66	det	_	TokenRange=377:378
66	tempo	tempo	NOUN	NOUN	_	63	nmod	_	TokenRange=379:384
67	a	o	DET	DET	_	68	det	_	TokenRange=385:386
68	angustia	angustia	NOUN	NOUN	_	60	nsubj	_	TokenRange=387:395
69	de	_	ADP	ADP	_	71	mark	_	TokenRange=396:398
70	se	_	PRON	PRON	_	71	expl:pv	_	TokenRange=399:401
71	sentir	sentir	VERB	VERB	_	68	nmod	_	TokenRange=402:408
72	paralisado	paralisado	ADJ	ADJ	_	71	xcomp	_	TokenRange=409:419
73	e	e	CCONJ	CONJ	_	79	cc	_	TokenRange=420:421
74	uma	um	DET	DET	_	75	det	_	TokenRange=422:425
75	jamanta	jamanta	NOUN	NOUN	_	79	nsubj	_	TokenRange=426:433
76	em	em	ADP	ADP	_	78	case	_	TokenRange=434:436
77	seu	_	DET	DET	_	78	det:poss	_	TokenRange=437:440
78	caminho	caminho	NOUN	NOUN	_	75	nmod	_	TokenRange=441:448
79	pareceu	parecer	VERB	VERB	_	54	conj	_	TokenRange=449:456
80	a	_	ADP	ADP	_	81	case	_	TokenRange=457:458
81	aecio	_	NOUN	NOUN	_	79	iobj	_	TokenRange=459:464
82	a	o	DET	DET	_	83	det	_	TokenRange=465:466
83	representacao	representacao	NOUN	NOUN	_	79	obj	_	TokenRange=467:480
84-85	do	_	_	_	_	_	_	_	TokenRange=481:483
84	de	de	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	momento	momento	NOUN	NOUN	_	83	nmod	_	TokenRange=484:491
87	politico	politico	ADJ	ADJ	_	86	amod	_	TokenRange=492:500
88	que	_	PRON	PRON	_	89	nsubj	_	TokenRange=501:504
89	vivia	viver	VERB	VERB	_	86	acl:relcl	_	TokenRange=505:510
90	a	_	ADP	ADP	_	95	case	_	TokenRange=511:512
91	pouco	pouco	ADV	ADV	_	92	advmod	_	TokenRange=513:518
92	mais	mais	ADV	ADV	_	94	advmod	_	TokenRange=519:523
93	de	de	ADP	ADP	_	92	case	_	TokenRange=524:526
94	30	_	NUM	NUM	NumType=Card	95	nummod	_	TokenRange=527:529
95	dias	dia	NOUN	NOUN	_	89	nmod	_	TokenRange=530:534
96-97	da	_	_	_	_	_	_	_	TokenRange=535:537
96	de	de	ADP	ADP	_	98	case	_	_
97	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	98	det	_	_
98	eleicao	eleicao	NOUN	NOUN	_	95	nmod	_	TokenRange=538:545
99	o	o	DET	DET	_	100	det	_	TokenRange=546:547
100	tucano	tucano	NOUN	NOUN	_	101	nsubj	_	TokenRange=548:554
101	estava	estar	VERB	VERB	_	22	advcl	_	TokenRange=555:561
102	20	_	NUM	NUM	NumType=Card	103	nummod	_	TokenRange=562:564
103	pontos	ponto	NOUN	NOUN	_	101	nmod	_	TokenRange=565:571
104	atras	atras	ADV	ADV	_	101	advmod	_	TokenRange=572:577
105	de	de	ADP	ADP	_	108	case	_	TokenRange=578:580
106	suas	_	DET	DET	_	108	det:poss	_	TokenRange=581:585
107	principais	principal	ADJ	ADJ	_	108	amod	_	TokenRange=586:596
