# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = confundimos a historia com propaganda afirma nk jemisin escritora americana tornouse a primeira pessoa negra a vencer o hugo principal premio da literatura fantastica como pode um livro que comeca literalmente com o fim do mundo render uma trilogia e o que os leitores brasileiros vao descobrir com a publicacao de a quinta estacao da norteamericana nk jemisin pela editora morro branco o livro lancado em 2015 nos eua inicia a trilogia da terra partida que figurou duas de suas obras nas listas de melhores do ano do new york times em tempos sombrios as pessoas olham para escritores afirma ursula k le guin a historia se passa em quietude continente acossado por terremotos em que a sociedade aprendeu a sobreviver aos
1	confundimos	confundir	VERB	VERB	_	0	root	_	TokenRange=0:11
2	a	o	DET	DET	_	3	det	_	TokenRange=12:13
3	historia	historia	NOUN	NOUN	_	1	obj	_	TokenRange=14:22
4	com	com	ADP	ADP	_	5	case	_	TokenRange=23:26
5	propaganda	propaganda	NOUN	NOUN	_	1	nmod	_	TokenRange=27:37
6	afirma	afirmar	VERB	VERB	_	1	parataxis	_	TokenRange=38:44
7	nk	_	NOUN	NOUN	_	14	nsubj	_	TokenRange=45:47
8	jemisin	_	NOUN	NOUN	_	7	flat	_	TokenRange=48:55
9	escritora	escritor	NOUN	NOUN	_	7	appos	_	TokenRange=56:65
10	americana	americano	ADJ	ADJ	_	9	amod	_	TokenRange=66:75
11	tornouse	tornousir	AUX	AUX	_	14	cop	_	TokenRange=76:84
12	a	o	DET	DET	_	14	det	_	TokenRange=85:86
13	primeira	primeiro	ADJ	ADJ	_	14	amod	_	TokenRange=87:95
14	pessoa	pessoa	NOUN	NOUN	_	1	parataxis	_	TokenRange=96:102
15	negra	negro	ADJ	ADJ	_	14	amod	_	TokenRange=103:108
16	a	_	ADP	ADP	_	17	mark	_	TokenRange=109:110
17	vencer	vencer	VERB	VERB	_	14	nmod	_	TokenRange=111:117
18	o	o	DET	DET	_	19	det	_	TokenRange=118:119
19	hugo	hugo	NOUN	NOUN	_	17	obj	_	TokenRange=120:124
20	principal	principal	ADJ	ADJ	_	21	amod	_	TokenRange=125:134
21	premio	premio	NOUN	NOUN	_	17	obj	_	TokenRange=135:141
22-23	da	_	_	_	_	_	_	_	TokenRange=142:144
22	de	de	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	literatura	literatura	NOUN	NOUN	_	21	nmod	_	TokenRange=145:155
25	fantastica	fantastico	ADJ	ADJ	_	24	amod	_	TokenRange=156:166
26	como	como	ADV	ADV	_	27	advmod	_	TokenRange=167:171
27	pode	_	AUX	AUX	_	14	cop	_	TokenRange=172:176
28	um	um	DET	DET	_	29	det	_	TokenRange=177:179
29	livro	livro	NOUN	NOUN	_	27	nsubj	_	TokenRange=180:185
30	que	_	PRON	PRON	_	31	nsubj	_	TokenRange=186:189
31	comeca	comecar	VERB	VERB	_	29	acl:relcl	_	TokenRange=190:196
32	literalmente	literalmente	ADV	ADV	_	31	advmod	_	TokenRange=197:209
33	com	com	ADP	ADP	_	35	case	_	TokenRange=210:213
34	o	o	DET	DET	_	35	det	_	TokenRange=214:215
35	fim	fim	NOUN	NOUN	_	31	nmod	_	TokenRange=216:219
36-37	do	_	_	_	_	_	_	_	TokenRange=220:222
36	de	de	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	mundo	mundo	NOUN	NOUN	_	35	nmod	_	TokenRange=223:228
39	render	render	VERB	VERB	_	31	xcomp	_	TokenRange=229:235
40	uma	um	DET	DET	_	41	det	_	TokenRange=236:239
41	trilogia	trilogia	NOUN	NOUN	_	39	obj	_	TokenRange=240:248
42	e	e	CCONJ	CONJ	_	43	cc	_	TokenRange=249:250
43	o	_	PRON	PRON	_	39	conj	_	TokenRange=251:252
44	que	_	PRON	PRON	_	49	obj	_	TokenRange=253:256
45	os	o	DET	DET	_	46	det	_	TokenRange=257:259
46	leitores	leitor	NOUN	NOUN	_	49	nsubj	_	TokenRange=260:268
47	brasileiros	brasileiro	ADJ	ADJ	_	46	amod	_	TokenRange=269:280
48	vao	ir	AUX	AUX	_	49	aux	_	TokenRange=281:284
49	descobrir	descobrir	VERB	VERB	_	43	acl:relcl	_	TokenRange=285:294
50	com	com	ADP	ADP	_	52	case	_	TokenRange=295:298
51	a	o	DET	DET	_	52	det	_	TokenRange=299:300
52	publicacao	publicacao	NOUN	NOUN	_	49	nmod	_	TokenRange=301:311
53	de	de	ADP	ADP	_	56	case	_	TokenRange=312:314
54	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	56	det	_	TokenRange=315:316
55	quinta	_	ADJ	ADJ	_	56	amod	_	TokenRange=317:323
56	estacao	estacao	NOUN	NOUN	_	52	nmod	_	TokenRange=324:331
57-58	da	_	_	_	_	_	_	_	TokenRange=332:334
57	de	de	ADP	ADP	_	59	case	_	_
58	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	59	det	_	_
59	norteamericana	_	NOUN	NOUN	_	56	nmod	_	TokenRange=335:349
60	nk	_	X	X	_	52	appos	_	TokenRange=350:352
61	jemisin	_	NOUN	NOUN	_	60	flat	_	TokenRange=353:360
62-63	pela	_	_	_	_	_	_	_	TokenRange=361:365
62	por	por	ADP	ADP	_	64	case	_	_
63	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	64	det	_	_
64	editora	_	NOUN	NOUN	_	52	nmod	_	TokenRange=366:373
65	morro	morro	NOUN	NOUN	_	64	appos	_	TokenRange=374:379
66	branco	branco	ADJ	ADJ	_	65	amod	_	TokenRange=380:386
67	o	o	DET	DET	_	68	det	_	TokenRange=387:388
68	livro	livro	NOUN	NOUN	_	75	nsubj	_	TokenRange=389:394
69	lancado	lancar	VERB	VERB	_	68	acl	_	TokenRange=395:402
70	em	em	ADP	ADP	_	71	case	_	TokenRange=403:405
71	2015	_	NUM	NUM	NumType=Card	69	nmod	_	TokenRange=406:410
72-73	nos	_	_	_	_	_	_	_	TokenRange=411:414
72	em	em	ADP	ADP	_	74	case	_	_
73	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	74	det	_	_
74	eua	_	NOUN	NOUN	_	69	nmod	_	TokenRange=415:418
75	inicia	iniciar	VERB	VERB	_	1	parataxis	_	TokenRange=419:425
76	a	o	DET	DET	_	77	det	_	TokenRange=426:427
77	trilogia	trilogia	NOUN	NOUN	_	75	obj	_	TokenRange=428:436
78-79	da	_	_	_	_	_	_	_	TokenRange=437:439
78	de	de	ADP	ADP	_	80	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
80	terra	terra	NOUN	NOUN	_	77	nmod	_	TokenRange=440:445
81	partida	partida	ADJ	ADJ	_	80	amod	_	TokenRange=446:453
82	que	_	PRON	PRON	_	83	nsubj	_	TokenRange=454:457
83	figurou	figurar	VERB	VERB	_	77	acl:relcl	_	TokenRange=458:465
84	duas	_	NUM	NUM	NumType=Card	83	obj	_	TokenRange=466:470
85	de	de	ADP	ADP	_	87	case	_	TokenRange=471:473
86	suas	_	DET	DET	_	87	det:poss	_	TokenRange=474:478
87	obras	obra	NOUN	NOUN	_	84	nmod	_	TokenRange=479:484
88-89	nas	_	_	_	_	_	_	_	TokenRange=485:488
88	em	em	ADP	ADP	_	90	case	_	_
89	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	90	det	_	_
90	listas	lista	NOUN	NOUN	_	83	nmod	_	TokenRange=489:495
91	de	de	ADP	ADP	_	92	case	_	TokenRange=496:498
92	melhores	melhor	NOUN	NOUN	_	90	nmod	_	TokenRange=499:507
93-94	do	_	_	_	_	_	_	_	TokenRange=508:510
93	de	de	ADP	ADP	_	95	case	_	_
94	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	95	det	_	_
95	ano	ano	NOUN	NOUN	_	92	nmod	_	TokenRange=511:514
96-97	do	_	_	_	_	_	_	_	TokenRange=515:517
96	de	de	ADP	ADP	_	99	case	_	_
97	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	99	det	_	_
98	new	_	ADJ	ADJ	_	100	amod	_	TokenRange=518:521
99	york	_	PROPN	PNOUN	_	95	nmod	_	TokenRange=522:526
100	times	time	NOUN	NOUN	_	99	nmod	_	TokenRange=527:532
101	em	em	ADP	ADP	_	102	case	_	TokenRange=533:535
102	tempos	tempo	NOUN	NOUN	_	83	nmod	_	TokenRange=536:542
103	sombrios	sombrio	ADJ	ADJ	_	102	amod	_	TokenRange=543:551
104	as	o	DET	DET	_	105	det	_	TokenRange=552:554
105	pessoas	pessoa	NOUN	NOUN	_	106	nsubj	_	TokenRange=555:562
106	olham	olhar	VERB	VERB	_	90	acl:relcl	_	TokenRange=563:568
107	para	para	ADP	ADP	_	108	case	_	TokenRange=569:573
108	escritores	escritor	NOUN	NOUN	_	106	nmod	_	TokenRange=574:584
109	afirma	afirmar	VERB	VERB	_	117	parataxis	_	TokenRange=585:591
110	ursula	ursula	PROPN	NOUN	_	109	nsubj	_	TokenRange=592:598
111	k	k	NOUN	NOUN	_	110	flat	_	TokenRange=599:600
112	le	_	X	X	_	110	flat	_	TokenRange=601:603
113	guin	_	NOUN	NOUN	_	110	flat	_	TokenRange=604:608
114	a	o	DET	DET	_	115	det	_	TokenRange=609:610
115	historia	historia	NOUN	NOUN	_	117	nsubj	_	TokenRange=611:619
116	se	_	PART	PRT	_	117	expl:pv	_	TokenRange=620:622
117	passa	passar	VERB	VERB	_	77	acl:relcl	_	TokenRange=623:628
118	em	em	ADP	ADP	_	119	case	_	TokenRange=629:631
119	quietude	quietude	NOUN	NOUN	_	117	nmod	_	TokenRange=632:640
120	continente	continente	NOUN	NOUN	_	117	nsubj	_	TokenRange=641:651
121	acossado	acossar	VERB	VERB	_	120	acl	_	TokenRange=652:660
122	por	por	ADP	ADP	_	123	case	_	TokenRange=661:664
123	terremotos	terremoto	NOUN	NOUN	_	121	nmod	_	TokenRange=665:675
124	em	em	ADP	ADP	_	125	case	_	TokenRange=676:678
125	que	_	PRON	PRON	_	128	nmod	_	TokenRange=679:682
126	a	o	DET	DET	_	127	det	_	TokenRange=683:684
127	sociedade	sociedade	NOUN	NOUN	_	128	nsubj	_	TokenRange=685:694
128	aprendeu	aprender	VERB	VERB	_	123	acl:relcl	_	TokenRange=695:703
129	a	_	ADP	ADP	_	130	mark	_	TokenRange=704:705
130	sobreviver	sobreviver	VERB	VERB	_	128	nmod	_	TokenRange=706:716
131-132	aos	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=717:720
131	a	a	ADP	ADP	_	130	case	_	_
132	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	130	det	_	_

