1 ostentou ostentar 0 VERB root
2 em em 4 ADP case
3 o o 4 DET det
4 facebook facebook 1 PROPN nmod
5 e e 8 CCONJ cc
6 o o 8 DET det
7 juiz juiz 8 NOUN nsubj
8 aumentou aumentar 1 VERB conj
9 a o 10 DET det
10 pensao pensao 8 NOUN obj
11 para para 12 ADP mark
12 exmulher exmulher 8 VERB advcl
13 juiz juiz 12 NOUN obj
14 determina determinar 1 VERB parataxis
15 aumento aumento 14 NOUN obj
16 de de 18 ADP case
17 a o 18 DET det
18 pensao pensao 15 NOUN nmod
19 de de 21 ADP case
20 um um 21 DET det
21 comerciante comerciante 18 NOUN nmod
22 apos apos 25 ADP mark
23 a o 24 DET det
24 mulher mulher 25 NOUN nsubj
25 comprovar comprovar 14 VERB advcl
26 por por 27 ADP case
27 meio meio 25 NOUN nmod
28 de de 30 ADP case
29 as o 30 DET det
30 postagens postagem 27 NOUN nmod
31 em em 33 ADP case
32 o o 33 DET det
33 facebook facebook 30 PROPN nmod
34 que que 37 CCONJ mark
35 o o 36 DET det
36 marido marido 37 NOUN nsubj
37 tinha ter 25 VERB ccomp
38 uma um 39 DET det
39 vida vida 37 NOUN obj
40 de de 41 ADP case
41 baladas balada 39 NOUN nmod
42 bebidas bebida 41 ADJ amod
43 e e 44 CCONJ cc
44 mulheres mulher 41 NOUN conj
45 cuidado cuidado 39 NOUN appos
46 com com 47 ADP case
47 o o 45 PRON nmod
48 que que 50 PRON obj
49 voce voce 50 PRON nsubj
50 posta posta 47 VERB acl:relcl
51 ostentacao ostentacao 50 NOUN obj
52 pode pode 55 AUX aux
53 ser ser 55 AUX cop
54 uma um 55 DET det
55 arma arma 1 NOUN parataxis
56 e e 61 CCONJ cc
57 a o 61 DET det
58 vitima vitima 462 NOUN nsubj
59 pode pode 61 AUX aux
60 ser ser 61 AUX cop
61 voce voce 55 NOUN conj
62 uma um 63 DET det
63 recepcionista recepcionista 462 NOUN nsubj
64 de de 66 ADP case
65 29 29 66 NUM nummod
66 anos ano 63 NOUN nmod
67 conseguiu conseguir 1 VERB conj
68 provar provar 67 VERB xcomp
69 que que 75 CCONJ mark
70 o o 71 DET det
71 exmarido exmarido 75 NOUN nsubj
72 um um 73 DET det
73 comerciante comerciante 75 NOUN nsubj
74 29 29 73 NUM appos
75 ganha ganhar 68 VERB ccomp
76 mais mais 75 ADV advmod
77 de de 81 ADP case
78 o o 81 DET det
79 que que 77 CCONJ fixed
80 havia haver 81 AUX aux
81 declarado declarar 75 VERB advcl
82 a o 83 DET det
83 justica justica 81 NOUN obj
84 e e 517 CCONJ cc
85 com com 86 ADP case
86 isso isso 87 PRON nmod
87 garantir garantir 239 VERB conj
88 uma um 89 DET det
89 pensao pensao 87 NOUN obj
90 maior maior 89 ADJ amod
91 para para 93 ADP case
92 o o 93 DET det
93 filho filho 87 NOUN nmod
94 de de 96 ADP case
95 o o 96 DET det
96 casal casal 93 NOUN nmod
97 de de 99 ADP case
98 4 4 99 NUM nummod
99 anos ano 96 NOUN nmod
100 o o 101 DET det
101 homem homem 102 NOUN nsubj
102 alegava alegar 1 VERB conj
103 que que 104 CCONJ mark
104 ganha ganhar 102 VERB ccomp
105 um um 106 DET det
106 salario salario 104 NOUN obj
107 minimo minimo 106 ADJ amod
108 e e 111 CCONJ cc
109 so so 111 ADV advmod
110 podia poder 111 AUX aux
111 pagar pagar 104 VERB conj
112 r r 111 NOUN obj
113 400 400 112 NUM nummod
114 de de 115 ADP case
115 pensao pensao 112 NOUN nmod
116 mas mas 517 CCONJ cc
117 apos apos 120 ADP mark
118 ter ter 120 AUX aux
119 sido ser 120 AUX aux:pass
120 descoberto descobrir 517 VERB advcl
121 ostentando ostentar 120 VERB acl
122 alto alto 123 ADJ amod
123 padrao padrao 392 NOUN obj
124 de de 125 ADP case
