1 nova novo 2 ADJ amod
2 arma arma 10 NOUN nsubj
3 de de 5 ADP case
4 a o 5 DET det
5 coreia coreia 2 NOUN nmod
6 de de 8 ADP case
7 o o 8 DET det
8 norte norte 5 NOUN nmod
9 poderia poder 10 AUX aux
10 matar matar 0 VERB root
11 90 90 10 NUM obj
12 de de 14 ADP case
13 os o 14 DET det
14 americanos americano 11 NOUN nmod
15 em em 17 ADP case
16 1 1 17 NUM nummod
17 ano ano 10 NOUN nmod
18 advertem advertir 10 VERB parataxis
19 especialistas especialista 18 NOUN obj
20 o o 21 DET det
21 congresso congresso 24 NOUN nsubj:pass
22 americano americano 21 ADJ amod
23 foi foi 24 AUX aux:pass
24 avisado avisar 10 VERB parataxis
25 hoje hoje 24 ADV advmod
26 08 08 24 NUM nsubj:pass
27 sobre sobre 29 ADP case
28 uma um 29 DET det
29 arma arma 24 NOUN nmod
30 recemdesenvolvida recemdesenvolver 29 VERB acl
31 por por 33 ADP case
32 a o 33 DET det
33 coreia coreia 30 NOUN nmod
34 de de 36 ADP case
35 o o 36 DET det
36 norte norte 33 NOUN nmod
37 que que 38 PRON nsubj
38 tem ter 29 VERB acl:relcl
39 o o 40 DET det
40 poder poder 38 NOUN obj
41 de de 42 ADP mark
42 eliminar eliminar 40 VERB nmod
43 grande grande 44 ADJ amod
44 parte parte 42 NOUN obj
45 de de 47 ADP case
46 a o 47 DET det
47 populacao populacao 44 NOUN nmod
48 norteamericana norteamericano 47 ADJ amod
49 em em 53 ADP case
50 menos menos 52 ADV advmod
51 de de 50 ADP case
52 um um 53 NUM nummod
53 ano ano 42 NOUN nmod
54 fontes fonte 24 NOUN nsubj:pass
55 rtcom rtcom 54 NOUN appos
56 / / 57 PUNCT punct
57 site site 55 NOUN flat
58 de de 60 ADP case
59 a o 60 DET det
60 casa casa 54 NOUN nmod
61 branca branco 60 ADJ amod
62 e e 63 CCONJ cc
63 jornal jornal 55 NOUN conj
64 the the 65 DET det
65 hill hill 63 NOUN appos
66 a o 67 DET det
67 advertencia advertencia 222 NOUN nsubj
68 sombria sombrio 67 ADJ amod
69 veio veio 10 VERB parataxis
70 depois depois 86 ADV mark
71 que que 319 CCONJ fixed
72 dois dois 73 NUM nummod
73 exmembros exmembro 86 NOUN nsubj
74 de de 76 ADP case
75 a o 76 DET det
76 comissao comissao 73 NOUN nmod
77 emp emp 76 NOUN flat
78 de de 80 ADP case
79 o o 80 DET det
80 congresso congresso 76 NOUN nmod
81 congressional congressional 82 ADJ amod
82 emp emp 470 NOUN appos
83 commission commission 82 NOUN flat
84 atualmente atualmente 85 ADV advmod
85 dissolvida dissolvido 82 VERB acl
86 disseram dizer 69 VERB advcl
87 em em 89 ADP case
88 uma um 89 DET det
89 audiencia audiencia 86 NOUN nmod
90 de de 92 ADP case
91 o o 92 DET det
92 subcomite subcomite 89 NOUN nmod
93 de de 95 ADP case
94 a o 95 DET det
95 homeland homeland 92 NOUN nmod
96 security security 95 NOUN flat
97 departamento departamento 92 NOUN appos
98 de de 99 ADP case
99 seguranca seguranca 97 NOUN nmod
100 interna interno 99 ADJ amod
101 de de 103 ADP case
102 os o 103 DET det
103 estados estado 97 NOUN nmod
104 unidos unido 103 ADJ amod
105 que que 264 CCONJ mark
106 as o 107 DET det
107 ameacas ameaca 264 NOUN nsubj
108 de de 109 ADP case
109 kim kim 107 NOUN nmod
110 jongun jongun 109 NOUN flat
111 a a 113 ADP case
112 os o 113 DET det
113 eua eua 109 NOUN nmod
114 representam representar 467 VERB ccomp
115 um um 116 DET det
116 perigo perigo 264 NOUN obj
117 grave grave 116 ADJ amod
118 e e 119 CCONJ cc
119 real real 117 ADJ conj
120 para para 122 ADP case
121 a o 122 DET det
122 patria patria 508 NOUN nmod
123 americana americano 122 ADJ amod
124 emp emp 515 NOUN appos
125 electromagnetic electromagnetic 124 NOUN appos
126 pulse pulse 125 NOUN flat
127 tecnologia tecnologia 124 NOUN appos
128 de de 129 ADP case
129 pulso pulso 127 NOUN nmod
130 eletromagnetico eletromagnetico 129 ADJ amod
131 a o 132 DET det
132 comissao comissao 529 NOUN nsubj
133 emp emp 132 NOUN appos
134 foi foi 136 AUX cop
135 um um 136 DET det
136 grupo grupo 24 NOUN parataxis
137 de de 138 ADP case
138 cientistas cientista 136 NOUN nmod
139 lideres lider 138 ADJ amod
140 engenheiros engenheiro 138 NOUN appos
141 e e 142 CCONJ cc
142 especialistas especialista 140 NOUN conj
143 em em 144 ADP case
144 seguranca seguranca 142 NOUN nmod
145 que que 146 PRON nsubj
146 trabalharam trabalhar 138 VERB acl:relcl
147 juntos junto 146 ADJ xcomp
148 para para 149 ADP mark
149 entender entender 146 VERB advcl
150 as o 151 DET det
151 ameacas ameaca 149 NOUN obj
152 colocadas colocar 151 VERB acl
153 a a 154 ADP case
154 infraestrutura infraestrutura 152 NOUN nmod
155 civil civil 154 ADJ amod
156 e e 157 CCONJ cc
157 militar militar 155 ADJ conj
158 de de 160 ADP case
159 os o 160 DET det
160 eua eua 154 NOUN nmod
161 o o 162 DET det
162 financiamento financiamento 539 NOUN nsubj
163 para para 165 ADP case
164 a o 165 DET det
165 comissao comissao 162 NOUN nmod
166 emp emp 165 NOUN flat
167 foi foi 168 AUX aux:pass
168 removido remover 29 VERB acl:relcl
169 em em 171 ADP case
170 a o 171 DET det
171 gestao gestao 168 NOUN nmod
172 anterior anterior 171 ADJ amod
173 o o 24 PRON appos
174 que que 178 PRON nsubj
175 para para 177 ADP case
176 muitos muitos 177 DET det
177 especialistas especialista 38 NOUN nmod
178 representa representar 173 VERB acl:relcl
179 ser ser 181 AUX cop
180 um um 181 DET det
181 corte corte 178 NOUN xcomp
182 de de 183 ADP case
183 verba verba 181 NOUN nmod
184 que que 185 PRON nsubj
185 impoe impoir 181 VERB acl:relcl
186 um um 188 DET det
187 serio serio 188 ADJ amod
188 risco risco 185 NOUN obj
189 a a 190 ADP case
190 seguranca seguranca 188 NOUN nmod
191 nacional nacional 190 ADJ amod
192 o o 193 DET det
193 expresidente expresidente 310 NOUN nsubj:pass
194 de de 196 ADP case
195 a o 196 DET det
196 comissao comissao 193 NOUN nmod
197 o o 198 DET det
198 fisico fisico 231 NOUN nsubj
199 dr dr 198 NOUN appos
200 william william 199 NOUN flat
201 r r 200 X flat
202 graham graham 199 NOUN flat
203 e e 205 CCONJ cc
204 o o 205 DET det
205 exexecutivo exexecutivo 193 NOUN conj
206 dr dr 205 NOUN appos
207 peter peter 205 NOUN flat
208 vincent vincent 206 NOUN flat
209 pry pry 430 NOUN flat
210 executive executive 211 ADJ amod
211 director director 205 NOUN appos
212 of of 214 ADP case
213 the the 214 DET det
214 emp emp 211 NOUN nmod
215 task task 214 NOUN flat
216 force force 215 NOUN flat
217 on on 218 PROPN flat
218 national national 63 ADJ amod
219 and and 220 CCONJ cc
220 homeland homeland 218 NOUN conj
221 security security 220 PROPN flat
222 afirmaram afirmar 10 VERB conj
223 em em 224 ADP case
224 conjunto conjunto 222 NOUN nmod
225 que que 231 CCONJ mark
226 um um 228 DET det
227 potencial potencial 228 ADJ amod
228 ataque ataque 231 NOUN nsubj
229 emp emp 228 ADJ amod
230 poderia poder 231 AUX aux
231 encerrar encerrar 222 VERB ccomp
232 a o 233 DET det
233 rede rede 231 NOUN obj
234 eletrica eletrico 233 ADJ amod
235 de de 237 ADP case
236 os o 237 DET det
237 eua eua 233 NOUN nmod
238 por por 240 ADP case
239 um um 240 DET det
240 periodo periodo 231 NOUN nmod
