1 vermelhou vermelhar 3 VERB csubj
2 janot janot 1 NOUN obj
3 manda mandar 0 VERB root
4 destruir destruir 3 VERB xcomp
5 provas prova 4 NOUN obj
6 que que 8 PRON nsubj
7 poderiam poder 8 AUX aux
8 colocar colocar 5 VERB acl:relcl
9 lula lula 8 NOUN obj
10 em em 12 ADP case
11 a o 12 DET det
12 cadeia cadeia 8 NOUN nmod
13 o o 14 DET det
14 procurador procurador 22 NOUN nsubj
15 geral geral 14 ADJ amod
16 de de 18 ADP case
17 a o 18 DET det
18 republica republica 14 NOUN nmod
19 rodrigo rodrigo 14 ADJ appos
20 janot janot 19 NOUN flat
21 vai ir 22 AUX aux
22 destruir destruir 3 VERB parataxis
23 provas prova 22 NOUN obj
24 que que 25 PRON nsubj
25 colocariam colocar 127 VERB acl:relcl
26 lula lula 25 NOUN obj
27 em em 29 ADP case
28 a o 29 DET det
29 cadeia cadeia 25 NOUN nmod
30 ontem ontem 22 ADV advmod
31 24 24 30 NUM nmod
32 o o 33 DET det
33 pgr pgr 34 NOUN nsubj
34 anunciou anunciar 22 VERB parataxis
35 que que 37 CCONJ mark
36 ira ira 37 AUX aux
37 devolver devolver 34 VERB ccomp
38 a a 40 ADP case
39 os o 40 DET det
40 advogados advogado 37 NOUN iobj
41 de de 42 ADP case
42 leo leo 40 NOUN nmod
43 pinheiro pinheiro 42 NOUN flat
44 expresidente expresidente 145 NOUN appos
45 de de 47 ADP case
46 a o 47 DET det
47 oas oas 44 PROPN nmod
48 os o 49 DET det
49 anexos anexo 37 NOUN obj
50 originais original 49 ADJ amod
51 entregues entregar 49 VERB acl
52 a a 54 ADP case
53 os o 54 DET det
54 procuradores procurador 51 NOUN iobj
55 e e 56 CCONJ cc
56 mandara mandar 37 VERB conj
57 dar dar 56 VERB xcomp
58 fim fim 57 NOUN obj
59 a a 61 ADP case
60 os o 61 DET det
61 papeis papei 57 NOUN iobj
62 usados usar 61 VERB acl
63 em em 65 ADP case
64 os o 65 DET det
65 acordos acordo 62 NOUN nmod
66 de de 67 ADP case
67 delacao delacao 65 NOUN nmod
68 de de 70 ADP case
69 o o 70 DET det
70 empreiteiro empreiteiro 65 NOUN nmod
71 informou informar 163 VERB parataxis
72 a o 73 DET det
73 coluna coluna 71 NOUN obj
74 radar radar 73 NOUN flat
75 a o 76 DET det
76 decisao decisao 78 NOUN nsubj:pass
77 foi foi 78 AUX aux:pass
78 tomada tomar 163 VERB ccomp
79 apos apos 82 ADP case
80 um um 82 DET det
81 suposto suposto 82 ADJ amod
