1 exanalista exanalista 7 NOUN nsubj
2 de de 3 ADP case
3 inteligencia inteligencia 1 NOUN nmod
4 de de 6 ADP case
5 os o 6 DET det
6 eua eua 1 NOUN nmod
7 diz dizer 0 VERB root
8 que que 13 CCONJ mark
9 armas arma 13 NOUN nsubj
10 de de 12 ADP case
11 a o 12 DET det
12 coreia coreia 9 NOUN nmod
13 sao sao 7 VERB ccomp
14 falsas falso 13 ADJ xcomp
15 tudo tudo 16 PRON det
16 plastico plastico 17 NOUN nsubj
17 sao sao 13 VERB conj
18 ridiculas ridicula 17 ADJ xcomp
19 os o 20 DET det
20 soldados soldado 21 NOUN nsubj
21 carregaram carregar 7 VERB ccomp
22 armas arma 21 NOUN obj
23 falsas falso 22 ADJ amod
24 durante durante 27 ADP case
25 o o 27 DET det
26 ultimo ultimo 27 ADJ amod
27 desfile desfile 21 NOUN nmod
28 afirmou afirmar 7 VERB parataxis
29 o o 30 DET det
30 exoficial exoficial 28 NOUN nsubj
31 de de 32 ADP case
32 inteligencia inteligencia 30 NOUN nmod
33 de de 35 ADP case
34 os o 35 DET det
35 eua eua 30 NOUN nmod
36 michael michael 30 NOUN appos
37 pregent pregent 36 NOUN flat
38 acredita acreditar 7 VERB parataxis
39 que que 186 CCONJ mark
40 a o 41 DET det
41 maioria maioria 186 NOUN nsubj
42 de de 44 ADP case
43 as o 44 DET det
44 armas arma 41 NOUN nmod
45 ostentadas ostentar 44 VERB acl
46 por por 48 ADP case
47 as o 48 DET det
48 tropas tropa 45 NOUN nmod
49 durante durante 51 ADP case
50 suas suas 51 DET det:poss
51 exibicoes exibicoe 45 NOUN nmod
52 sao sao 38 VERB ccomp
53 ficticias ficticia 52 ADJ xcomp
54 e e 55 CCONJ cc
55 diz dizer 38 VERB conj
56 que que 186 CCONJ mark
57 ate ate 58 ADV advmod
58 mesmo mesmo 60 ADV advmod
59 os o 60 DET det
60 oculos oculo 186 NOUN nsubj
61 de de 62 ADP case
62 sol sol 60 NOUN nmod
63 de de 65 ADP case
64 os o 65 DET det
65 soldados soldado 60 NOUN nmod
66 nao nao 68 ADV advmod
67 sao ser 68 AUX cop
68 equipamentos equipamento 55 NOUN ccomp
69 proprios proprio 68 ADJ amod
70 para para 71 ADP case
71 combate combate 68 NOUN nmod
72 pregent pregent 318 NOUN nsubj:pass
73 foi foi 74 AUX aux:pass
74 convidado convidar 38 VERB ccomp
75 por por 77 ADP case
76 a o 77 DET det
77 fox fox 74 NOUN nmod
78 news news 77 NOUN flat
79 para para 80 ADP mark
