1 tudo tudo 2 PRON nsubj
2 junto junto 26 ADV advmod
3 e e 4 CCONJ cc
4 misturado misturar 2 VERB conj
5 a a 6 ADP case
6 delacao delacao 4 NOUN nmod
7 que que 9 PRON nsubj
8 podera podera 9 AUX aux
9 provar provar 6 VERB acl:relcl
10 que que 16 CCONJ mark
11 lula lula 16 NOUN nsubj
12 collor collor 11 NOUN flat
13 e e 14 CCONJ cc
14 fhc fhc 11 NOUN conj
15 sao sao 16 AUX cop
16 farinha farinha 9 NOUN ccomp
17 de de 20 ADP case
18 o o 20 DET det
19 mesmo mesmo 20 ADJ amod
20 saco saco 16 NOUN nmod
21 o o 22 DET det
22 corrupto corrupto 16 NOUN nsubj
23 pedro pedro 22 NOUN appos
24 correa correa 22 ADJ amod
25 exdeputado exdeputado 22 NOUN appos
26 deu dar 0 VERB root
27 detalhes detalhe 26 NOUN obj
28 de de 31 ADP case
29 a o 31 DET det
30 primeira primeiro 31 ADJ amod
31 vez vez 27 NOUN nmod
32 que que 33 PRON mark
33 embolsou embolsar 31 VERB acl:relcl
34 propina propina 33 NOUN obj
35 e e 36 CCONJ cc
36 confessou confessar 26 VERB conj
37 ter ter 38 AUX aux
38 recebido receber 36 VERB xcomp
39 dinheiro dinheiro 38 NOUN obj
40 desviado desviado 39 ADJ amod
41 de de 44 ADP case
42 quase quase 43 ADV advmod
43 vinte vinte 44 NUM nummod
44 orgaos orgao 38 NOUN nmod
45 de de 47 ADP case
46 o o 47 DET det
47 governo governo 44 NOUN nmod
48 de de 49 ADP case
49 bancos banco 47 NOUN nmod
50 a a 51 ADP case
51 ministerios ministerio 38 NOUN iobj
52 de de 53 ADP case
53 estatais estatal 51 NOUN nmod
54 a a 55 ADP case
55 agencias agencia 190 NOUN nmod
56 reguladoras regulador 55 ADJ amod
57 sao sao 170 VERB parataxis
58 quarenta quarenta 59 NUM nummod
59 anos ano 57 NOUN nsubj
60 de de 61 ADP case
61 corrupcao corrupcao 59 NOUN nmod
62 a o 63 DET det
63 revista revista 170 NOUN nsubj
64 veja veja 63 ADJ amod
65 publicou publicar 26 VERB parataxis
66 um um 67 DET det
67 resumo resumo 65 NOUN obj
68 sobre sobre 69 ADP case
69 relato relato 67 NOUN nmod
70 de de 72 ADP case
71 o o 72 DET det
72 medico medico 69 NOUN nmod
73 pernambucano pernambucano 72 ADJ amod
74 que que 75 PRON nsubj
75 usou usar 72 VERB acl:relcl
76 a o 77 DET det
77 politica politica 75 NOUN obj
78 para para 79 ADP mark
79 conseguir conseguir 75 VERB advcl
80 fama fama 79 NOUN obj
81 e e 82 CCONJ cc
82 fortuna fortuna 80 NOUN conj
83 pedro pedro 63 NOUN appos
84 detalhou detalhar 26 VERB ccomp
85 esquemas esquema 205 NOUN obj
86 de de 87 ADP case
87 corrupcao corrupcao 85 NOUN nmod
88 que que 89 PRON nsubj
89 remontam remontar 85 VERB acl:relcl
90 a a 92 ADP case
91 os o 92 DET det
92 governos governo 89 NOUN nmod
93 militares militar 92 ADJ amod
94 a o 95 DET case
95 gestao gestao 92 NOUN nmod
