# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dilma grampeou sergio moro michel temer e ministros do stf foi a abin que grampeou o gabinete do ministro barroso revelou um exagente da abin ainda lotado na presidencia da republica a abin a agencia brasileira de inteligencia grampeou e espionou o presidente michel temer lideres do pmdb sergio moro e ate ministros do stf a informacao foi divulgada pela revista isto e a descoberta de um grampo instalado sob a mesa do gabinete do ministro luis roberto barroso confirmou as suspeitas da equipe do presidente michel temer e membros da forca tarefa da operacao lava jato do ponto de vista institucional e gravissimo alguem ter a ousadia de colocar um grampo num gabinete do supremo e uma desfacatez absoluta afirmou barroso
1	dilma	dilma	NOUN	NOUN	_	2	nsubj	_	TokenRange=0:5
2	grampeou	grampear	VERB	VERB	_	0	root	_	TokenRange=6:14
3	sergio	sergio	ADJ	NOUN	_	4	amod	_	TokenRange=15:21
4	moro	moro	NOUN	NOUN	_	2	obj	_	TokenRange=22:26
5	michel	michel	ADJ	ADJ	_	6	amod	_	TokenRange=27:33
6	temer	temer	NOUN	NOUN	_	3	appos	_	TokenRange=34:39
7	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=40:41
8	ministros	ministro	NOUN	NOUN	_	6	conj	_	TokenRange=42:51
9-10	do	_	_	_	_	_	_	_	TokenRange=52:54
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	stf	_	NOUN	NOUN	_	8	nmod	_	TokenRange=55:58
12	foi	_	AUX	AUX	_	14	cop	_	TokenRange=59:62
13	a	o	DET	DET	_	14	det	_	TokenRange=63:64
14	abin	_	NOUN	NOUN	_	2	parataxis	_	TokenRange=65:69
15	que	_	PRON	PRON	_	16	nsubj	_	TokenRange=70:73
16	grampeou	grampear	VERB	VERB	_	14	acl:relcl	_	TokenRange=74:82
17	o	o	DET	DET	_	18	det	_	TokenRange=83:84
18	gabinete	gabinete	NOUN	NOUN	_	16	obj	_	TokenRange=85:93
19-20	do	_	_	_	_	_	_	_	TokenRange=94:96
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	ministro	ministro	NOUN	NOUN	_	18	nmod	_	TokenRange=97:105
22	barroso	barroso	ADJ	ADJ	_	21	amod	_	TokenRange=106:113
23	revelou	revelar	VERB	VERB	_	14	acl:relcl	_	TokenRange=114:121
24	um	um	DET	DET	_	25	det	_	TokenRange=122:124
25	exagente	exagente	NOUN	NOUN	_	23	obj	_	TokenRange=125:133
26-27	da	_	_	_	_	_	_	_	TokenRange=134:136
26	de	de	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	abin	_	NOUN	NOUN	_	25	nmod	_	TokenRange=137:141
29	ainda	ainda	ADV	ADV	_	30	advmod	_	TokenRange=142:147
30	lotado	lotar	VERB	VERB	_	25	acl	_	TokenRange=148:154
31-32	na	_	_	_	_	_	_	_	TokenRange=155:157
31	em	em	ADP	ADP	_	33	case	_	_
32	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
33	presidencia	presidencia	NOUN	NOUN	_	30	nmod	_	TokenRange=158:169
34-35	da	_	_	_	_	_	_	_	TokenRange=170:172
34	de	de	ADP	ADP	_	36	case	_	_
35	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
36	republica	_	NOUN	NOUN	_	33	nmod	_	TokenRange=173:182
37	a	_	ADP	ADP	_	38	case	_	TokenRange=183:184
38	abin	_	NOUN	NOUN	_	30	nmod	_	TokenRange=185:189
39	a	o	DET	DET	_	40	det	_	TokenRange=190:191
40	agencia	agencia	NOUN	NOUN	_	44	nsubj	_	TokenRange=192:199
41	brasileira	brasileiro	ADJ	ADJ	_	40	amod	_	TokenRange=200:210
42	de	de	ADP	ADP	_	43	case	_	TokenRange=211:213
43	inteligencia	inteligencia	NOUN	NOUN	_	40	nmod	_	TokenRange=214:226
44	grampeou	grampear	VERB	VERB	_	14	acl:relcl	_	TokenRange=227:235
45	e	e	CCONJ	CONJ	_	46	cc	_	TokenRange=236:237
46	espionou	espionar	VERB	VERB	_	44	conj	_	TokenRange=238:246
47	o	o	DET	DET	_	48	det	_	TokenRange=247:248
