# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mitou ministro gilmar mendes faz a melhor declaracao do ano dilma e um poste o ministro do gilmar mendes comparou a presidente dilma rousseff a um poste durante entrevista ao programa mariana godoy entrevista nesta sextafeira mendes comentava a possibilidade de juizes serem bons administradores referencia ao clamor por uma candidatura de joaquim barbosa em 2018 quando foi interrompido por mariana que disse a seguinte frase a presidente dilma nunca tinha ocupado um cargo no executivo e virou presidente pela primeira vez o ministro foi ironico e respondeu de imediato nao seria o caso de um poste se referindo a uma frase dita por lula quando declarou que faria um sucessor nem que fosse um poste
1	mitou	mitar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	ministro	ministro	NOUN	NOUN	_	1	obj	_	TokenRange=6:14
3	gilmar	gilmar	NOUN	NOUN	_	2	amod	_	TokenRange=15:21
4	mendes	_	ADJ	ADJ	_	2	amod	_	TokenRange=22:28
5	faz	fazer	VERB	VERB	_	1	parataxis	_	TokenRange=29:32
6	a	o	DET	DET	_	8	det	_	TokenRange=33:34
7	melhor	melhor	ADJ	ADJ	_	8	amod	_	TokenRange=35:41
8	declaracao	declaracao	NOUN	NOUN	_	5	obj	_	TokenRange=42:52
9-10	do	_	_	_	_	_	_	_	TokenRange=53:55
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	ano	ano	NOUN	NOUN	_	8	nmod	_	TokenRange=56:59
12	dilma	dilma	NOUN	NOUN	_	8	appos	_	TokenRange=60:65
13	e	e	CCONJ	CONJ	_	15	cc	_	TokenRange=66:67
14	um	um	DET	DET	_	15	det	_	TokenRange=68:70
15	poste	poste	NOUN	NOUN	_	12	conj	_	TokenRange=71:76
16	o	o	DET	DET	_	17	det	_	TokenRange=77:78
17	ministro	ministro	NOUN	NOUN	_	22	nsubj	_	TokenRange=79:87
18-19	do	_	_	_	_	_	_	_	TokenRange=88:90
18	de	de	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	gilmar	gilmar	NOUN	NOUN	_	17	nmod	_	TokenRange=91:97
21	mendes	_	ADJ	ADJ	_	20	amod	_	TokenRange=98:104
22	comparou	comparar	VERB	VERB	_	1	conj	_	TokenRange=105:113
23	a	o	DET	DET	_	24	det	_	TokenRange=114:115
24	presidente	presidente	NOUN	NOUN	_	22	obj	_	TokenRange=116:126
25	dilma	dilma	NOUN	NOUN	_	24	appos	_	TokenRange=127:132
26	rousseff	rousseff	NOUN	NOUN	_	25	flat	_	TokenRange=133:141
27	a	_	ADP	ADP	_	29	case	_	TokenRange=142:143
28	um	um	DET	DET	_	29	det	_	TokenRange=144:146
29	poste	poste	NOUN	NOUN	_	22	nmod	_	TokenRange=147:152
30	durante	_	ADP	ADP	_	31	case	_	TokenRange=153:160
31	entrevista	entrevista	NOUN	NOUN	_	22	nmod	_	TokenRange=161:171
32-33	ao	_	_	_	_	_	_	_	TokenRange=172:174
32	a	a	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	programa	programa	NOUN	NOUN	_	31	nmod	_	TokenRange=175:183
35	mariana	mariano	NOUN	NOUN	_	34	appos	_	TokenRange=184:191
36	godoy	_	ADJ	ADJ	_	35	amod	_	TokenRange=192:197
37	entrevista	entrevista	NOUN	NOUN	_	41	obj	_	TokenRange=198:208
38	nesta	_	ADP	ADP	_	39	case	_	TokenRange=209:214
39	sextafeira	sextafeira	NOUN	NOUN	_	41	nmod	_	TokenRange=215:225
40	mendes	_	NOUN	NOUN	_	39	amod	_	TokenRange=226:232
41	comentava	comentar	VERB	VERB	_	1	parataxis	_	TokenRange=233:242
42	a	o	DET	DET	_	43	det	_	TokenRange=243:244
43	possibilidade	possibilidade	NOUN	NOUN	_	41	obj	_	TokenRange=245:258
44	de	_	ADP	ADP	_	48	mark	_	TokenRange=259:261
45	juizes	juiz	NOUN	NOUN	_	48	nsubj	_	TokenRange=262:268
46	serem	ser	AUX	AUX	_	48	cop	_	TokenRange=269:274
47	bons	bom	ADJ	ADJ	_	48	amod	_	TokenRange=275:279
48	administradores	administrador	NOUN	NOUN	_	43	nmod	_	TokenRange=280:295
49	referencia	referencia	NOUN	NOUN	_	41	parataxis	_	TokenRange=296:306
50-51	ao	_	_	_	_	_	_	_	TokenRange=307:309
50	a	a	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	clamor	clamor	NOUN	NOUN	_	49	nmod	_	TokenRange=310:316
53	por	por	ADP	ADP	_	55	case	_	TokenRange=317:320
54	uma	um	DET	DET	_	55	det	_	TokenRange=321:324
55	candidatura	candidatura	NOUN	NOUN	_	52	nmod	_	TokenRange=325:336
56	de	de	ADP	ADP	_	57	case	_	TokenRange=337:339
57	joaquim	joaquim	NOUN	NOUN	_	55	nmod	_	TokenRange=340:347
58	barbosa	barboso	ADJ	ADJ	_	57	flat	_	TokenRange=348:355
59	em	em	ADP	ADP	_	60	case	_	TokenRange=356:358
60	2018	_	NUM	NUM	NumType=Card	55	nmod	_	TokenRange=359:363
61	quando	quando	ADV	ADV	_	63	advmod	_	TokenRange=364:370
62	foi	_	AUX	AUX	_	63	aux:pass	_	TokenRange=371:374
63	interrompido	interromper	VERB	VERB	_	52	acl:relcl	_	TokenRange=375:387
64	por	por	ADP	ADP	_	65	case	_	TokenRange=388:391
65	mariana	_	NOUN	NOUN	_	63	nmod	_	TokenRange=392:399
66	que	_	PRON	PRON	_	67	nsubj	_	TokenRange=400:403
67	disse	dizer	VERB	VERB	_	65	acl:relcl	_	TokenRange=404:409
68	a	o	DET	DET	_	70	det	_	TokenRange=410:411
69	seguinte	seguinte	ADJ	ADJ	_	70	amod	_	TokenRange=412:420
70	frase	frase	NOUN	NOUN	_	67	obj	_	TokenRange=421:426
71	a	o	DET	DET	_	72	det	_	TokenRange=427:428
72	presidente	presidente	NOUN	NOUN	_	76	nsubj	_	TokenRange=429:439
73	dilma	dilma	ADJ	ADJ	_	72	amod	_	TokenRange=440:445
74	nunca	nunca	ADV	ADV	_	76	advmod	_	TokenRange=446:451
75	tinha	ter	AUX	AUX	_	76	aux	_	TokenRange=452:457
76	ocupado	ocupar	VERB	VERB	_	70	acl:relcl	_	TokenRange=458:465
77	um	um	DET	DET	_	78	det	_	TokenRange=466:468
78	cargo	cargo	NOUN	NOUN	_	76	obj	_	TokenRange=469:474
79-80	no	_	_	_	_	_	_	_	TokenRange=475:477
79	em	em	ADP	ADP	_	81	case	_	_
80	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	81	det	_	_
81	executivo	executivo	NOUN	NOUN	_	78	nmod	_	TokenRange=478:487
82	e	e	CCONJ	CONJ	_	84	cc	_	TokenRange=488:489
83	virou	virar	AUX	AUX	_	84	cop	_	TokenRange=490:495
84	presidente	presidente	NOUN	NOUN	_	76	conj	_	TokenRange=496:506
85-86	pela	_	_	_	_	_	_	_	TokenRange=507:511
85	por	por	ADP	ADP	_	88	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
87	primeira	primeiro	ADJ	ADJ	_	88	amod	_	TokenRange=512:520
88	vez	vez	NOUN	NOUN	_	91	nmod	_	TokenRange=521:524
89	o	o	DET	DET	_	90	det	_	TokenRange=525:526
90	ministro	ministro	NOUN	NOUN	_	91	nsubj	_	TokenRange=527:535
91	foi	_	VERB	VERB	_	76	conj	_	TokenRange=536:539
92	ironico	ironico	ADJ	ADJ	_	91	xcomp	_	TokenRange=540:547
93	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=548:549
94	respondeu	responder	VERB	VERB	_	91	conj	_	TokenRange=550:559
95	de	_	ADP	ADP	_	96	mark	_	TokenRange=560:562
96	imediato	imediato	NOUN	NOUN	_	94	nmod	_	TokenRange=563:571
97	nao	nao	ADV	ADV	Polarity=Neg	100	advmod	_	TokenRange=572:575
98	seria	_	AUX	AUX	_	100	cop	_	TokenRange=576:581
99	o	o	DET	DET	_	100	det	_	TokenRange=582:583
100	caso	caso	NOUN	NOUN	_	91	conj	_	TokenRange=584:588
101	de	de	ADP	ADP	_	103	case	_	TokenRange=589:591
102	um	um	DET	DET	_	103	det	_	TokenRange=592:594
103	poste	poste	NOUN	NOUN	_	100	nmod	_	TokenRange=595:600
104	se	_	PART	PRT	_	105	obj	_	TokenRange=601:603
105	referindo	referir	VERB	VERB	_	100	acl	_	TokenRange=604:613
106	a	_	ADP	ADP	_	108	case	_	TokenRange=614:615
107	uma	um	DET	DET	_	108	det	_	TokenRange=616:619
108	frase	frase	NOUN	NOUN	_	105	nmod	_	TokenRange=620:625
109	dita	_	VERB	VERB	_	108	acl	_	TokenRange=626:630
110	por	por	ADP	ADP	_	111	case	_	TokenRange=631:634
111	lula	_	NOUN	NOUN	_	109	nmod	_	TokenRange=635:639
112	quando	_	CCONJ	CONJ	_	113	mark	_	TokenRange=640:646
113	declarou	declarar	VERB	VERB	_	105	advcl	_	TokenRange=647:655
114	que	que	CCONJ	CONJ	_	115	mark	_	TokenRange=656:659
115	faria	fazer	VERB	VERB	_	113	ccomp	_	TokenRange=660:665
116	um	um	DET	DET	_	117	det	_	TokenRange=666:668
117	sucessor	sucessor	NOUN	NOUN	_	115	obj	_	TokenRange=669:677
118	nem	_	CCONJ	CONJ	_	122	cc	_	TokenRange=678:681
119	que	_	CCONJ	CONJ	_	122	mark	_	TokenRange=682:685
120	fosse	_	AUX	AUX	_	122	cop	_	TokenRange=686:691
121	um	um	DET	DET	_	122	det	_	TokenRange=692:694
122	poste	poste	NOUN	NOUN	_	115	conj	_	TokenRange=695:700

